,MDAMB231_siTP53_rep1,MDAMB231_siTP53_rep2,MDAMB231_siTP53_rep3,MDAMB231_siCtrl_rep1,MDAMB231_siCtrl_rep2,MDAMB231_siCtrl_rep3
CISD2,618,746,656,717,934,686
CCDC73,339,387,333,402,507,336
EID3,10,5,3,6,10,3
GPX8,847,933,807,1249,1664,1135
OAS2,983,994,965,1425,1731,1311
TMEM9B-AS1,24,17,18,17,28,10
PHOSPHO2,43,45,34,42,59,45
PAPPA-AS1,107,130,108,114,126,112
OAS3,918,1044,964,2677,3194,2195
RBMXL1,1332,1388,1200,1156,1325,1056
CHAC2,137,150,122,201,286,190
OAT,2447,2737,2302,2813,3575,2463
TBC1D25,392,553,451,517,654,434
MIR423,5,4,5,7,4,4
RNF165,163,149,159,127,151,91
PJVK,23,33,37,15,27,27
TYMSOS,344,439,330,655,797,467
WEE2,3,2,5,2,6,4
OAZ1,6576,8241,6341,9007,11302,7196
OAZ2,1506,1732,1391,1810,2406,1602
OCRL,1045,1180,1137,1007,1302,919
ODC1,1434,1698,1332,2472,3142,2016
