,MDAMB231_siTP53_rep1,MDAMB231_siTP53_rep2,MDAMB231_siTP53_rep3,MDAMB231_siCtrl_rep1,MDAMB231_siCtrl_rep2,MDAMB231_siCtrl_rep3
LOC107986465,56,64,49,61,105,56
LOC107986468,6,5,3,4,7,4
LOC107986476,4,3,4,3,10,1
LOC107986477,21,21,29,23,34,21
LOC107986483,1,4,1,3,3,3
LOC107986485,6,4,9,5,14,4
LOC107986486,94,138,101,160,207,119
LOC107986488,72,55,70,72,85,58
LOC107986494,12,7,6,8,7,3
LOC107986495,27,7,19,8,29,9
TRIM7-AS1,8,12,10,4,12,7
LOC107986513,7,11,13,29,59,15
LOC107986514,0,2,1,2,10,1
LOC107986515,4,1,0,4,7,2
LOC107986517,2,1,2,5,4,3
LOC107986531,52,61,56,75,92,54
LOC107986555,6,4,4,6,3,4
LOC107986556,4,8,6,10,17,6
LOC107986558,4,8,10,3,2,2
LOC107986566,12,17,16,6,7,5
LOC107986569,4,2,4,1,3,1
LOC107986571,54,60,40,52,78,40
LOC107986578,37,50,35,58,68,35
LOC107986583,82,95,90,80,98,82
LOC107986584,2,1,4,2,1,5
ABCF1-DT,22,20,18,28,32,20
EHMT2-AS1,228,252,228,249,320,204
ZFAND3-DT,7,5,6,6,8,7
LOC107986596,98,127,150,104,108,74
LOC107986597,12,9,13,11,25,12
LOC107986599,187,223,197,202,248,161
LOC107986600,5,4,5,3,7,2
LOC107986603,4,7,6,2,10,3
LOC107986622,1,1,3,7,7,2
LOC107986630,7,6,6,5,8,11
LOC107986632,26,22,23,11,16,12
LOC107986633,21,19,29,16,19,23
LOC107986641,4,3,4,3,1,4
LOC107986642,12,10,11,25,28,18
LOC107986644,2,4,6,3,9,2
LOC107986649,17,9,9,11,7,9
HIVEP2-DT,34,47,34,46,33,39
LOC107986656,11,16,15,6,11,9
LOC107986660,11,14,7,8,13,12
LOC107986673,11,8,6,8,20,16
LOC107986694,126,150,133,147,185,138
LOC107986696,141,163,139,159,204,140
LOC107986699,2,1,2,3,18,7
PRR15-DT,10,11,10,9,13,9
LOC107986707,12,5,10,8,11,11
LOC107986710,67,80,72,58,66,46
LOC107986712,13,8,15,4,13,9
LOC107986714,17,17,15,12,16,14
LOC107986717,4,2,1,1,8,2
LOC107986718,28,35,33,48,73,58
LOC107986742,0,2,1,2,8,9
LOC107986755,2,1,0,1,12,1
MICALL2-DT,8,7,10,3,5,3
LOC107986759,7,8,7,6,11,3
LOC107986760,5,6,7,4,5,2
LOC107986762,140,194,175,188,232,154
LOC107986767,3,7,6,1,2,1
LOC107986779,4,6,6,3,5,3
LOC107986785,15,16,18,13,13,12
LOC107986798,7,2,6,4,6,5
LOC107986800,8,12,9,8,8,8
LINC02848,5,7,9,3,6,5
ELN-AS1,32,26,20,19,22,12
LOC107986814,1,2,2,4,5,2
LOC107986819,4,1,3,2,5,2
LOC107986820,7,8,18,4,15,11
LOC107986822,4,4,3,7,9,5
LOC107986823,7,3,11,6,12,6
CZ1P-ASNS,524,582,515,705,1008,651
LOC107986828,30,41,26,23,25,17
LOC107986838,195,259,185,222,251,161
LOC107986839,2,2,1,5,5,2
LOC107986840,1,2,3,3,8,5
LOC107986845,26,36,32,24,36,22
LOC107986847,2,1,4,2,6,3
LOC107986849,27,40,31,23,35,25
LOC107986852,27,20,25,35,41,34
LOC107986853,5,6,5,3,7,5
LOC107986855,6,7,6,2,3,6
LOC107986858,23,18,22,13,14,9
LOC107986859,1,1,2,4,3,3
LOC107986862,19,10,14,18,39,18
LOC107986871,37,30,22,34,27,18
LOC107986874,3,3,1,0,6,3
LOC107986876,140,174,122,130,183,117
LOC107986882,2,6,6,1,7,7
LOC107986918,3,5,5,1,12,1
LOC107986925,14,16,13,7,11,7
LOC107986929,25,31,31,20,29,10
LOC107986934,29,40,33,34,55,32
LOC107986935,17,29,17,13,19,13
LOC107986939,2,4,3,2,4,2
LOC107986942,1,2,4,2,4,5
LOC107986948,11,13,18,12,15,12
GRHL2-DT,3,2,3,2,4,3
LOC107986970,7,5,6,10,12,4
LOC107986973,65,67,64,13,23,19
LOC107986981,4,1,2,6,12,7
LOC107986982,3,2,4,8,43,5
LINC02990,7,6,10,7,15,3
LOC107986985,91,87,83,99,144,88
LOC107986986,27,31,34,31,42,15
LOC107986991,94,108,88,92,122,98
LOC107986993,7,3,2,1,4,3
LOC107986997,52,72,65,58,76,49
LOC107986998,4,4,5,4,7,6
FAM27E4,17,19,22,24,37,20
LOC107987003,7,5,4,4,5,5
LOC107987004,2,3,2,3,4,1
LOC107987006,5,4,4,1,3,2
LOC107987007,3,1,3,3,4,2
LOC107987009,51,51,74,43,61,35
LOC107987027,15,27,16,16,24,28
LOC107987042,3,5,5,5,6,5
LOC107987043,11,6,18,14,22,9
LOC107987057,9,5,13,6,14,13
LOC107987060,4,2,9,8,1,2
LOC107987063,34,35,27,32,42,27
LOC107987067,5,4,2,6,6,3
LOC107987068,3,3,2,2,5,2
LOC107987071,3,2,5,5,9,6
LOC107987072,119,124,109,118,154,108
LOC107987073,8,5,10,7,10,6
LOC107987076,5,5,6,5,6,5
LOC107987081,2,2,8,7,30,4
LOC107987095,25,25,31,15,23,15
LOC107987097,11,17,16,8,8,7
LOC107987101,6,8,6,3,3,4
LOC107987102,52,56,59,74,91,62
CT70,9,3,11,6,15,10
LOC107987107,2,0,3,3,6,3
LOC107987110,9,7,10,10,11,9
LOC107987113,67,57,54,61,87,66
LOC107987115,14,13,13,22,27,22
LOC107987118,16,17,7,13,15,14
LOC107987119,2,4,3,2,3,1
LOC107987126,2,3,3,0,3,4
LOC107987128,3,2,6,4,14,4
LOC107987135,1720,1991,1739,1856,2132,1535
CAMSAP1-DT,95,96,112,109,137,92
LOC107987147,368,381,459,447,665,428
LOC107987150,60,53,60,45,71,51
LOC107987152,26,27,31,26,31,22
LOC107987158,3,2,3,12,32,3
LOC107987160,5,11,12,5,6,6
LOC107987172,7,18,5,13,23,16
LOC107987178,8,14,13,4,5,9
LOC107987181,23,35,21,32,40,24
LOC107987192,3,4,2,2,3,2
LOC107987206,101,139,106,191,8659,154
LOC107987209,376,468,375,519,618,348
LOC107987222,60,57,59,66,100,70
LOC107987223,2,8,2,2,0,1
LOC107987237,6,4,6,6,20,6
LOC107987238,27,42,28,31,35,23
LOC107987243,5,3,2,0,6,0
LOC107987244,64,65,53,46,57,37
LOC107987245,84,72,89,94,109,81
LOC107987249,8,5,5,2,12,9
LOC107987250,87,120,87,97,123,74
LOC107987254,22,18,22,28,39,16
LOC107987256,6,5,6,7,6,5
LOC107987258,9,12,10,21,31,11
LOC107987261,213,175,203,168,237,150
LOC107987264,23,28,21,33,45,26
LOC107987266,9,10,10,13,12,9
LOC107987269,68,70,71,73,88,68
LOC107987272,68,70,57,62,85,38
LOC107987276,27,35,25,35,49,19
LOC107987280,13,4,8,6,5,3
LOC107987284,41,39,42,24,36,24
LOC107987292,2,4,3,3,2,4
LOC107987293,2,3,6,6,9,4
LOC107987294,1,4,6,8,8,4
LINC02246,45,31,30,27,38,18
LOC107987299,2,5,3,3,9,3
LOC107987300,2,8,6,4,2,2
LOC107987302,1,4,2,0,8,1
LOC107987365,4,2,3,2,3,4
LOC107987366,22,21,25,25,33,22
LOC107987373,303,401,279,277,344,214
LOC107987374,4,11,6,4,5,5
LOC107987392,6,6,7,8,10,6
LOC107987398,62,68,82,61,72,64
LOC107987399,22,29,28,27,35,21
LOC107987401,8,12,11,12,14,10
RPP40,131,170,137,201,264,170
SEPTIN9,12910,15754,12707,15648,19046,12051
SEC24A,1917,2189,2042,1629,1953,1382
SDCCAG8,799,913,804,896,1153,836
ENTR1,1241,1448,1231,1674,2009,1387
HSPH1,6444,7458,6574,5296,6144,4611
STARD10,391,500,398,336,373,267
WASF3,924,927,840,528,608,426
NOXA1,610,710,607,531,647,408
UTP14A,505,545,463,686,877,608
CPLX1,7,5,7,11,9,8
FRS3,214,252,183,273,361,200
FRS2,692,755,732,959,1283,901
OR7E14P,79,75,71,47,57,51
DIAPH2-AS1,1,6,3,5,1,1
NEU3,334,386,333,690,814,550
FAXDC2,416,481,422,448,564,418
FAM114A2,318,327,292,383,535,404
ZNF275,261,296,266,354,420,307
ALDH1L1,45,56,41,71,74,53
FTCD,4,4,2,2,8,2
TUBGCP2,3916,4663,3938,4619,5959,3793
CLPX,942,1088,906,1142,1471,1029
PDE10A,896,1014,933,840,1071,759
SRCAP,4988,5738,5206,6044,6623,4847
PPP1R13L,1123,1325,1201,1546,1927,1120
POLR1G,595,793,632,761,880,572
HPSE,258,306,264,623,819,556
RUVBL2,2549,3321,2605,4147,5046,3140
PGRMC1,1774,2117,1779,1723,2230,1611
LINP1,83,112,85,165,213,151
SLC26A1,123,159,173,125,195,111
ADAM28,74,82,94,34,45,36
ARID5A,129,146,116,131,166,107
HCP5,290,325,266,392,437,314
TSPAN9,2069,2500,2025,2430,2881,1897
USP20,765,952,741,881,1030,653
USP19,2495,2916,2507,2769,3421,2209
CD300C,2,6,1,3,2,1
ME3,1354,1625,1446,1667,2009,1400
NMU,104,135,100,134,178,119
FGL2,5,1,5,2,11,3
CFHR3,4,6,5,6,3,4
HFE-AS1,32,45,36,59,68,49
HSD17B1-AS1,279,358,299,371,446,262
C1QL1,33,56,33,61,108,50
MRPS30,705,830,680,844,1023,750
WDR3,1199,1320,1224,1843,2201,1552
PROKR1,8,8,9,12,15,9
GPR83,28,36,33,38,48,42
RAB10,4466,4953,4160,4159,5170,3800
ZNF8-ERVK3-1,630,696,606,737,946,603
PPARGC1A,284,322,334,186,254,168
MALT1,1246,1364,1362,1265,1483,1137
MMP24,448,569,489,459,571,367
ACBD7-DCLRE1CP1,20,19,9,15,17,14
YIF1A,1250,1492,1181,978,1320,798
CPSF4,608,648,566,927,1131,787
JTB,1623,1960,1634,1634,2091,1389
ADCY3,846,1015,924,1403,1725,1096
RUNDC3A,1,7,1,4,8,6
DHRS4,131,186,127,153,233,127
BRD8,2524,2876,2605,3171,4227,2855
MTMR11,710,763,753,911,1179,771
BLCAP,1334,1619,1375,1649,1988,1358
MAN1A2,1620,1747,1774,1968,2342,1710
TRAFD1,1801,2115,1674,1624,1923,1325
TXNL4A,943,1278,922,1151,1427,873
PNPLA6,7078,8731,7165,5821,6849,4359
SUGT1,1180,1202,1208,1752,2333,1623
GADD45G,5,8,9,1,7,3
MASCRNA,7,9,11,2,6,4
TALAM1,11285,10857,9942,7763,6091,7037
PAPOLA,3937,4323,4054,6911,8103,6156
TCERG1,2419,2764,2604,3213,3879,2916
MAGED2,8684,9938,8400,7055,8902,5761
EHMT2,1865,2174,1946,2229,2697,1784
COPS8,1631,1815,1618,1499,1840,1232
RNPS1,3096,3606,3087,3998,4872,3150
FASTK,1022,1282,1016,1096,1280,765
SUB1,2376,2684,2279,2710,3477,2497
SMPDL3A,194,194,176,182,250,166
DBF4,684,797,594,957,1189,821
SPIN1,2642,3038,2516,2978,3515,2477
RALBP1,3368,3806,3267,3780,4435,3139
ARHGAP27P1-BPTFP1-KPNA2P3,938,1008,998,775,996,754
SRSF8,1109,1286,1053,1214,1481,1013
APOBEC2,36,37,34,20,35,15
MORF4L1,6819,8039,6571,5579,6858,5039
PRDX3,6106,7119,6040,7243,9015,6334
GPR75,90,88,107,88,131,63
EHD1,4839,5866,4740,6731,7782,4805
AFG3L2,1364,1593,1333,2091,2452,1769
POP1,364,413,361,522,618,439
MSL3,524,603,515,571,680,486
C11orf58,2929,3423,2900,4715,5977,4253
KDELR1,5134,6355,4971,5057,6158,4309
SF3A3,3259,3694,3095,4637,5736,3974
AP3M2,635,710,626,836,1111,742
STARD3,1416,1676,1425,1300,1612,1021
HNRNPA0,3933,4718,3898,5463,6957,4543
BTG3,388,414,355,558,716,500
ERV3-1-ZNF117,51,59,52,39,45,40
CBX1,2261,2640,2193,3134,3888,2877
SEC61B,1385,1534,1312,1454,1945,1159
TOMM34,5816,6833,5562,5022,6519,4047
PDIA5,523,529,510,469,563,365
SERINC3,9464,10547,9459,7358,9345,6633
OS9,3227,3887,3245,3510,4616,3144
PNRC1,1354,1590,1328,952,1201,852
TMED2,8916,10083,8511,8988,11391,8115
LMAN2,3019,3747,2926,3399,4246,2509
ERP29,3450,4164,3287,4181,5308,3394
SNORA22B,4,2,1,4,7,2
SNORA79B,3,4,4,3,4,2
SNORA9B,0,2,1,6,5,1
SNORD19C,9,9,8,5,10,14
SNORD70B,3,3,2,2,6,2
SNORA11F,6,11,14,18,21,11
SNORA21B,3,7,1,3,7,4
SNORA63B,27,26,35,29,33,30
SNORA63E,9,8,2,4,4,8
SNORA77B,6,10,4,7,10,8
SNORD63B,6,10,7,8,6,7
SNORD3K,4,2,1,3,6,0
SNORA58B,6,8,3,6,10,3
MLLT11,111,130,103,177,245,157
SNORD157,7,1,9,11,11,5
SNORD159,20,19,29,14,26,14
SNORD167,4,7,3,6,6,3
SNORA119,5,6,1,6,12,5
SNORD175,3,2,1,4,3,2
SNORD160,4,3,4,13,6,6
SNORD173,4,1,1,3,7,4
STIP1,6458,7694,6151,8612,10694,7168
IFI44L,12,14,22,39,53,57
ACOT2,538,704,569,735,956,583
RAB40B,106,117,106,133,166,114
EBNA1BP2,2618,2991,2470,3573,4528,3037
CKAP4,7678,8993,7446,7593,9074,6403
HTD2,332,372,322,432,553,366
YWHAQ,11242,12731,10421,12090,15072,10776
TMED10,5590,6108,5348,6188,7893,5606
KRT7-AS,734,907,763,968,1277,733
MEF2C-AS2,65,63,60,54,63,49
TDRKH-AS1,45,56,47,32,37,26
POC1B-AS1,18,21,20,19,34,17
LNCSRLR,13,14,17,14,25,12
LINC02154,3,5,5,2,4,3
TFAP2A-AS2,40,33,28,43,50,36
SNHG26,41,40,40,53,59,37
ZNF710-AS1,43,59,50,50,75,52
DM1-AS,97,118,103,66,77,58
SLC12A5-AS1,5,4,3,5,5,1
ASCC3,1702,1878,1722,2517,2938,2200
ADIRF,320,366,279,301,397,252
UQCR11,898,1117,900,1042,1189,739
CLP1,477,544,460,586,729,486
FERMT2,2301,2485,2185,2633,3357,2420
COPS6,1479,1760,1439,2228,2720,1860
RAB32,686,825,664,830,1047,649
MAPRE2,1524,1946,1473,1588,1794,1287
CCNI,6750,7791,6547,6877,8132,5828
KCNQ1OT1,392,363,398,388,471,312
GCN1,10616,12593,11348,12371,14378,9524
MIR302CHG,125,136,112,150,175,143
RNA45SN4,20172,23470,17827,29689,62854,20062
RNA28SN4,17874,21058,15941,26131,56773,17731
RNA18SN4,1961,2012,1569,2973,4958,1935
RNA5-8SN4,85,85,59,115,303,83
RNA45SN2,5808,6527,5086,8491,17655,6078
RNA18SN2,648,663,531,986,1746,717
RNA5-8SN2,25,22,20,30,70,27
RNA28SN2,4947,5617,4359,7141,15292,5123
COPS5,1037,1133,978,1132,1444,983
METAP2,2684,3065,2447,3823,4644,3445
IMMT,3699,4388,3727,4513,5417,3756
RNA45SN3,9481,10644,8156,13742,28562,9724
RNA18SN3,1318,1345,1055,1928,3337,1316
RNA5-8SN3,84,82,66,108,285,89
RNA28SN3,7856,8952,6834,11335,24374,8107
SF3B2,7342,8529,6992,9034,10791,7358
SDS,4,4,2,3,4,2
ILVBL,2022,2580,2034,2422,3008,1797
PKD1P3-NPIPA1,597,680,636,737,873,539
SLC27A5,46,60,52,61,70,42
SLC27A4,1373,1719,1448,1608,2004,1234
SLC27A3,97,127,106,125,125,98
PKD1P5-LOC105376752,500,624,549,591,707,466
PKD1P4-NPIPA8,430,532,480,546,628,388
PPIP5K1P1-CATSPER2,264,271,282,325,407,275
ANKRD20A4-ANKRD20A20P,11,10,10,19,24,17
SLC27A2,4,3,4,5,5,4
KIF2C,4346,5116,4025,6510,8184,5330
SPINK5,12,16,17,6,16,25
CCDC85B,1774,2337,1846,2502,2993,1770
IL24,58,55,45,76,103,74
CFAP298-TCP10L,192,216,185,286,355,262
CHAD,50,58,37,61,82,58
GLIPR1,1751,1894,1716,1573,1968,1484
TLK2,1412,1528,1300,1700,2118,1528
ZNF765-ZNF761,178,170,172,233,253,202
P3R3URF-PIK3R3,251,300,245,297,332,272
KDELR2,7675,8736,7519,5867,7177,5179
KDELR3,679,764,636,507,614,420
ATF7,1114,1287,1120,1015,1267,962
SNRNP27,887,920,727,846,1093,811
TMED1,1073,1428,1165,1331,1693,1023
LIAS,111,135,122,115,141,102
RCBTB2,66,69,83,99,118,101
IFT27,158,175,163,160,169,96
RAB35,2646,3191,2532,3020,3806,2330
TDRKH,469,554,412,549,713,492
LILRB3,31,38,23,24,43,30
RBPMS,60,63,60,87,114,86
RAB31,3076,3458,2943,2738,3537,2536
ADAP1,150,157,141,217,255,166
DSTN,11351,13141,10638,11293,13854,10507
ZNF660-ZNF197,262,265,288,273,367,249
STON1,54,62,41,60,66,53
GUSBP14,164,164,181,156,258,155
RCC1,2145,2461,1989,2903,3576,2263
PIM2,351,425,327,259,351,235
B4GAT1,852,1055,859,723,930,607
GUSBP15,59,73,83,63,123,73
MID2,276,352,291,273,300,239
TENT4A,1884,2175,1869,1998,2365,1655
SLC35D2,583,671,659,493,616,412
ADRM1,4256,5373,4332,5719,6906,4334
CHD1,3786,3874,3875,3806,4524,3573
NUDT21,3217,3432,3015,3557,4580,3264
CPSF6,2012,2231,2024,2394,2998,2102
OGFR,2930,3590,3104,4582,5771,3408
DDX52,1343,1522,1327,1608,1994,1380
ABHD2,2955,3243,2968,2247,2531,1830
WWP1,1305,1380,1189,1129,1330,924
EEF1AKMT4,120,136,102,96,118,67
EEF1AKMT4-ECE2,46,49,52,40,49,23
ASDURF,136,172,137,169,216,160
C5-OT1,7,9,8,8,13,6
CHD2,3920,4122,4075,3959,4695,3637
WWP2,1912,2254,1864,2248,2724,1828
DUS4L,107,113,93,110,140,99
SOX30,9,4,11,2,5,2
CNTRL,1083,1211,1141,1528,1912,1407
UBE2C,2727,3308,2518,4081,5420,3531
SNRNP35,608,683,610,630,781,544
DEPP1,331,372,319,278,419,246
CYB561D2,447,540,474,454,590,399
RAPGEF4,36,40,37,17,31,21
CHD3,5908,6766,6328,6028,7134,4880
TMEM115,1243,1588,1351,1285,1610,1044
DUSP14,575,645,550,806,900,620
TOPBP1,1815,1955,1768,2365,2799,2165
TPPP,39,41,30,48,69,41
HSF2BP,51,65,49,83,103,53
TRIOBP,3541,4187,3539,3432,4302,2831
RER1,1908,2223,1867,2159,2633,1826
CHD4,9010,10477,8855,11248,13294,9307
DNAJB4,331,338,316,326,468,317
BTG3-AS1,44,45,37,59,83,46
LINC02474,23,25,18,5,6,8
CCDC194,7,15,16,7,15,12
LIF-AS1,4,11,2,11,7,3
LINC02561,7,8,1,5,6,0
C17orf113,3,5,2,4,7,5
FLNC-AS1,141,168,142,145,174,94
DIDO1,2992,3464,3184,3556,4064,2892
LAMC1-AS1,24,18,18,24,28,17
AKR1C4,5,5,12,2,4,6
WDR5,2177,2542,2170,2683,3188,2138
SPACA9,104,132,106,85,116,80
ADAMTS13,19,19,10,15,17,4
CACFD1,634,785,602,378,515,281
ADAMTS8,4,2,5,2,5,5
ADAMTS5,7,5,11,11,14,13
NUP42,323,346,322,401,477,330
PRSS23,10742,12884,10537,12035,15055,10563
PTPN21,915,1002,865,1371,1528,1099
ADCY5,3,7,8,4,5,7
HNRNPUL1,13200,16082,13409,15608,18760,12852
ATE1,1227,1384,1227,1635,1992,1413
RPP14,513,572,511,678,849,550
KRR1,2029,2195,2040,2281,2797,2114
KATNA1,501,540,479,758,982,687
TPM1-AS,39,47,39,82,119,48
PRDM5,365,366,370,382,486,386
PRDM4,1252,1519,1239,1470,1747,1198
LINC02569,6,4,5,4,6,5
MMP24-AS1-EDEM2,369,438,321,367,497,311
CHEK1,755,873,804,1469,1871,1383
HIBADH,1803,2069,1702,1945,2500,1752
CIT,4963,5676,5203,6648,8335,5635
CEP43,535,605,544,544,749,545
EMILIN1,30,33,22,19,25,16
BTN3A2,903,943,757,1245,1524,1039
BTN3A1,699,699,676,996,1213,895
FOXN3,2163,2467,2257,2023,2316,1815
BTN2A1,1088,1142,1029,1548,1989,1372
LINC02575,20,27,14,29,24,21
RCAN3,1294,1343,1180,1331,1836,1166
FAF1,1670,2045,1747,2329,2850,1961
CRYZL2P-SEC16B,49,54,42,51,86,45
CD160,6,8,12,13,15,10
KIF3A,573,671,637,648,816,589
POLR3A,1575,1813,1597,1802,2068,1465
CLASRP,804,915,781,915,1150,833
CHGA,1,1,2,5,6,4
ZWINT,2698,3140,2607,4560,5636,3835
CAPN11,47,68,65,63,78,63
CAPN10,358,371,322,367,425,260
KPTN,264,315,276,336,410,262
CDC42EP1,1615,2009,1643,2052,2362,1504
SLC7A9,6,12,4,4,8,2
PWP1,1358,1574,1333,2080,2569,1797
TBC1D8,1352,1396,1442,2146,2627,1897
CDC37,6634,8010,6709,8038,10255,6342
IL1RAPL1,119,125,108,116,154,120
PKIG,570,659,536,564,699,492
KAT7,1550,1730,1514,1790,2297,1571
PLAAT3,1324,1624,1392,2191,2802,1766
GLMN,315,340,319,508,619,431
HHLA3,234,265,242,248,274,186
CORO1A,33,22,18,59,71,42
WDR45,907,1116,899,849,1100,640
FICD,431,450,392,476,534,356
AP4S1,193,228,222,221,284,207
LDB3,9,7,4,7,14,6
PTP4A3,65,66,45,124,144,108
LSM6,247,314,277,394,508,392
RABL2B,263,275,304,233,314,224
RABL2A,109,123,131,91,126,88
ERLIN2,653,686,573,1668,2175,1495
ERG28,713,816,702,650,786,579
NUDT6,89,96,91,99,124,73
NUDT4,2861,3246,2817,2141,2640,1918
NUDT5,1619,1842,1580,1607,2010,1385
NUDT3,3536,3812,3510,5441,6416,4648
SOX21,31,41,44,56,78,46
FSTL1,1991,2212,1937,5084,6267,4341
PSIP1,1048,1222,1041,1942,2303,1778
WDHD1,1443,1529,1441,2314,2691,2086
CHI3L2,16,23,32,9,9,17
FAM107A,1,1,2,9,9,10
STRAP,2758,3255,2706,3191,3991,2714
ADAMTS7,48,70,45,52,69,48
ADAMTS6,92,101,96,142,194,135
BAZ2A,5664,6681,6125,5429,6518,4679
BAZ1A,1831,1977,1864,2546,2930,2333
LZTS1,45,52,58,95,129,81
ZNF277,257,293,265,282,411,272
WDR6,5529,6858,5898,6789,8032,5204
TREH,126,139,124,130,155,131
SLC2A6,726,892,745,770,876,650
ATRIP-TREX1,183,233,211,310,377,251
MAP4K5,2300,2341,2406,2756,3493,2642
MAP4K1,2,3,2,4,7,4
RASSF1,727,944,785,783,970,619
PKP3,572,708,566,750,870,527
NISCH,2305,2493,2421,2337,2849,1937
CELF3,243,311,260,331,434,266
CHKA,1510,1749,1528,1742,2045,1428
CEP250,3622,4208,3831,5457,6093,4218
PTENP1,116,104,96,76,98,97
WBP4,497,497,427,625,733,623
ABCB8,471,559,504,426,551,337
SEC23IP,2317,2647,2340,2453,3096,2206
SUPT16H,5951,6694,5842,10087,12237,8781
ANXA10,184,242,186,195,228,184
ADCY6,707,860,787,919,1118,759
CHKB,176,207,199,190,249,158
CHEK2,164,211,193,229,312,202
POLI,273,323,280,335,455,337
MST1P2,7,7,10,5,12,9
CHM,1035,1126,994,1436,1708,1265
PLPBP,633,741,644,576,726,515
IRAK3,190,206,229,320,359,279
AKAP13,2858,3143,3130,3298,3945,2884
AKAP11,3327,3368,3385,3652,4130,3293
AKAP10,944,1054,949,1158,1444,1026
DDX20,760,843,715,1042,1258,850
TREX2,22,30,23,21,24,18
CHML,1703,1797,1724,2505,2890,2175
DUSP10,391,522,406,280,324,264
MRPL3,1210,1314,1088,1671,2148,1543
MST1L,2,2,5,5,3,1
RPL35,6992,8572,6482,9384,11348,7366
GALNT6,1393,1681,1571,1752,2094,1448
LOC112267859,2,4,3,4,4,3
LOC112267861,36,40,46,38,58,35
LOC112267864,29,39,22,23,39,15
LOC112267866,21,22,32,29,49,40
LOC112267869,4,4,4,3,7,6
LOC112267872,51,64,51,51,67,46
LOC112267876,1,2,2,6,5,5
PPP1CB-DT,32,42,44,55,72,51
LOC112267879,21,27,32,21,17,16
LOC112267891,7,11,9,14,16,15
LOC112267907,1,3,0,1,17,3
LOC112267909,1,5,3,7,4,5
LOC112267910,3,5,7,13,14,8
LOC112267914,10,11,15,10,13,3
LOC112267915,7,7,5,7,10,4
LOC112267916,2,4,1,4,2,3
LOC112267917,6,6,4,3,3,4
LOC112267932,6,6,10,10,16,8
LOC112267936,7,6,8,13,16,8
LOC112267938,8,13,13,8,8,10
LOC112267941,189,172,221,172,198,153
LOC112267942,16,15,16,13,22,19
LOC112267943,89,63,84,54,108,91
KLC4-AS1,114,152,139,104,133,92
KCNQ5-DT,2,1,1,4,2,4
LOC112267965,11,12,7,12,13,12
LOC112267967,9,12,8,9,18,8
CDK13-DT,4,3,7,3,7,2
LOC112267985,6,6,7,7,9,6
LOC112267986,1,3,5,5,4,1
LOC112267987,6,3,4,3,4,3
LOC112267988,8,9,10,12,15,7
LOC112267992,4,2,1,3,11,2
LOC112268006,75,118,104,88,96,69
GRM3-AS1,12,2,10,12,15,13
LOC112268009,22,14,17,23,59,18
LOC112268015,1,0,2,2,5,7
LOC112268016,11,10,8,13,26,16
LOC112268021,287,342,363,394,457,339
LOC112268022,51,63,66,28,48,33
LOC112268024,12,11,19,19,25,15
LOC112268030,8,12,6,6,7,2
LOC112268034,2,1,2,5,3,2
LOC112268035,56,46,57,47,55,39
LOC112268037,21,8,18,15,22,19
LOC112268043,4,4,3,7,7,5
LOC112268045,6,5,4,2,7,2
LOC112268048,148,155,129,166,232,175
LOC112268050,8,6,5,3,15,9
LOC112268051,18,20,23,16,17,12
LOC112268052,291,365,317,407,487,285
LOC112268054,4,1,5,2,3,2
LOC112268055,220,240,210,168,196,132
LOC112268056,12,15,16,24,29,13
LOC112268058,60,74,46,62,70,40
LOC112268060,3,4,2,3,5,5
LOC112268062,5,2,3,4,0,1
LOC112268063,11,12,13,22,48,19
LOC112268064,13,10,6,10,17,4
LOC112268067,5,1,5,6,5,4
LOC112268070,37,30,49,42,57,38
LOC112268072,3,4,3,2,3,4
LOC112268073,5,1,8,5,17,7
LOC112268079,3,6,5,4,5,5
LOC112268085,5,5,4,3,2,2
LOC112268086,5,5,3,7,11,10
LOC112268088,48,40,44,36,40,32
GAPDH-DT,670,729,635,768,929,615
LOC112268092,22,25,35,31,39,28
MYG1-AS1,357,451,318,347,491,322
CNPY2-AS1,49,54,37,49,55,43
LOC112268099,1,1,3,2,5,4
LOC112268100,7,0,4,4,17,1
LOC112268102,6,8,10,11,19,12
LOC112268104,4,3,2,2,0,2
SBNO1-AS1,31,53,34,29,33,14
LOC112268106,28,19,22,23,47,30
LOC112268109,400,463,390,511,635,500
LOC112268114,8,8,6,8,9,6
LOC112268116,4,2,3,4,4,2
LOC112268118,56,71,52,50,68,55
LOC112268121,33,35,30,35,44,32
LOC112268122,19,18,18,8,8,5
LOC112268123,83,92,80,86,106,70
BAZ1A-AS1,86,92,94,119,153,96
LOC112268130,8,17,14,17,41,16
LOC112268131,168,184,200,265,332,213
LOC112268133,5,5,8,13,23,1
LOC112268134,5,2,4,4,7,4
LOC112268140,59,66,60,104,143,95
LOC112268143,29,28,24,28,26,22
LOC112268144,28,27,25,43,54,27
LOC112268147,22,31,33,27,30,33
LOC112268148,46,51,39,50,68,49
LOC112268150,7,16,15,14,23,14
LOC112268155,1730,1963,1691,1242,1404,1054
LOC112268163,12,13,19,18,29,22
LOC112268166,77,79,80,90,91,60
LOC112268169,12,9,11,14,28,20
LOC112268170,868,1117,849,996,1234,794
LOC112268171,32,40,31,37,42,24
LOC112268172,6,4,4,7,7,4
LOC112268174,32,33,37,35,51,33
LOC112268177,43,45,45,31,68,36
LOC112268179,28,43,38,29,49,21
KPNB1-DT,760,850,751,917,1056,798
LOC112268186,24,21,28,22,19,16
