Genes,WT_serum_Sc_2,R175_serum_A5,WT_doxo_Sc,WT_serum_A5_1,WT_doxo_A5,WT_serum_A5_2,WT_serum_Sc_1
FAM120A,16364,18948,16579,14014,16437,26749,15336
FAF2,7723,9081,7839,6170,7264,11534,7391
PSME4,4494,5270,5911,4050,5785,7589,3997
GSE1,42104,38255,41767,25370,35443,58507,40908
ATP11B,3126,3527,2788,2765,2530,4634,2822
FAM168A,5682,5068,5026,3476,4293,7976,5463
PMPCA,3079,3349,3016,2280,2629,5223,2896
ARL6IP1,11282,11040,11777,8826,8041,16997,10945
ACSBG1,7,2,13,3,3,11,11
PLEKHM2,1945,1836,2278,1151,2063,3002,1858
SYT11,7,5,15,0,7,5,4
FLT1,18,13,87,11,82,34,12
JMJD6,598,526,508,432,532,904,611
ZC3H4,5510,6145,6611,2703,5285,8101,5158
RRS1,717,694,682,374,750,1206,708
SULF1,704,568,387,422,196,719,719
XPO6,7987,7717,7017,5559,6385,12113,7971
PRRC2C,20151,20776,23250,16618,20808,25437,18098
TBC1D1,1060,896,1001,838,826,1388,1130
NBEAL2,9868,7855,15189,4577,11279,14782,9854
FBXO28,2350,2146,2612,2176,2427,3862,2167
FLT3,200,169,65,118,65,234,165
DTX4,556,368,549,282,445,745,603
RHOBTB2,1142,756,2043,477,1347,1555,1141
RRP12,2677,2840,2698,1598,2661,4195,2677
SYNE2,15468,9992,9240,10258,5154,19228,13436
NUP210,24671,20381,12680,11893,9041,32823,23791
PLCL2,4,0,7,3,7,1,1
ARHGEF9,620,782,541,436,470,851,626
FLT3LG,85,54,84,26,35,60,82
VPS13A,4656,4558,5628,4053,4697,7481,4251
SEL1L3,984,1342,674,858,733,1587,932
TBC1D12,1048,980,935,676,751,1464,929
EXOC6B,1304,1333,2407,1134,2245,2117,1315
DNAJC9,3004,2377,1130,1849,774,3545,2843
SIK2,1746,1460,1494,1162,1345,2186,1500
PLCB1,1163,1148,1160,812,1267,1392,1039
ARC,512,451,426,224,499,902,467
PHLPP1,1225,1057,1102,696,976,1969,1154
FLT4,269,146,98,88,56,241,304
TMEM131L,2287,2006,4073,1782,3101,3190,2228
PACS2,6239,5474,7520,3664,6984,10286,6202
COBL,873,808,1132,604,1229,1313,850
ANKRD28,4184,3861,3438,3267,2697,5808,3889
PDS5A,9251,8414,6882,7965,6238,13298,8549
ASTN2,200,182,624,164,527,525,171
BOP1,2612,2736,2395,1280,2114,4791,2818
KATNIP,2074,1971,2901,1140,2487,3178,1986
RPRD2,10981,10081,9346,7400,6182,13862,10065
ATP11A,2732,2422,5492,2065,5193,4486,2558
MINAR1,65,29,40,45,26,92,39
OTUD3,603,621,624,519,555,950,499
ANKRD12,2593,2518,3196,2415,3015,4265,2471
KAZN,1002,883,1264,805,1406,1668,990
MTCL1,378,237,713,230,1005,686,345
SCFD1,1547,2089,1704,1499,1419,2275,1514
DENND5A,2226,2027,2229,1643,1882,3097,1957
DDHD2,1247,1175,1036,861,884,1593,1101
FMO1,27,18,10,14,17,26,18
CAMTA1,1000,859,1056,701,981,1639,941
PPIP5K2,3204,3967,3189,2821,2545,4844,2892
MCF2L,709,705,898,428,640,965,703
ZC3H7B,4258,3476,4914,2053,4283,5786,4222
EXOC7,4011,3221,7072,2362,5450,6397,4023
ADGRL2,29,102,61,78,66,163,38
DNMBP,518,457,1355,382,1391,766,507
MGA,6310,5615,7248,5621,6578,9844,5812
FMO2,7,0,14,4,9,7,3
TSPYL4,2242,2174,3283,1326,2798,2910,2117
CAMSAP2,6544,7919,7000,6862,7326,11436,5995
TASOR,3890,3292,4356,2892,3537,5260,3481
CLEC16A,2063,2383,3381,1564,3469,3840,1967
POFUT2,805,766,1374,431,1185,1378,798
KLHL18,878,803,955,581,813,1289,856
CLUH,6609,7154,5604,3556,5151,11254,6848
NUP160,6909,6785,3857,4867,3006,9031,6498
FMO3,5,6,5,12,7,5,1
MTUS2,27,39,112,41,155,64,21
CSTF2T,1541,1294,1117,961,772,2054,1486
ADGRL3,26,24,30,14,38,41,15
WWC1,4823,4502,6498,3659,5774,7252,4426
AGTPBP1,1229,1304,1161,976,920,1742,1107
IQCE,4024,3249,4402,2179,3737,5416,3974
FMO4,63,77,119,55,82,105,54
FBXW11,4694,3473,5171,3165,4327,6074,4627
SMG6,1429,1493,2142,974,1903,2357,1345
ANKS1A,2806,2859,3390,2006,3167,4850,2880
MGRN1,4456,3691,6084,2155,5077,6404,4501
BICD2,2399,1949,2879,1779,2853,3868,2343
FMO5,235,240,362,210,223,488,198
ATMIN,7748,9010,10406,8459,11027,13537,7458
EHBP1,1623,1953,1344,1334,1157,2224,1468
WSCD1,160,165,50,117,106,329,181
KIF13B,645,655,824,476,632,1146,583
UBR2,3402,3600,4718,2857,3884,5282,3142
ACSL6,37,10,41,26,9,19,38
NEMP1,3606,2459,1890,2305,1059,4094,3275
FKBP15,1659,1518,2028,1188,1632,2284,1509
ICOSLG,8,3,81,1,10,83,1
SIN3B,1629,1572,4270,901,5529,2854,1560
NCAPD3,4450,2995,1964,2565,925,4939,3902
DMXL2,8824,8683,8143,6934,5901,12732,7816
KIAA0930,2376,2018,2671,1474,2427,3914,2462
SATB2,418,411,1048,450,1074,902,419
SLC9A8,1062,1029,1748,602,1378,1507,1023
CUX2,4,5,8,4,16,2,2
DNAJC13,4925,5038,4709,4000,4001,6835,4320
TUT4,4,1,2,6,39,9,0
FMR1,3159,3264,3003,2889,3495,5245,2938
TRIM2,232,283,544,151,427,256,183
RPGRIP1L,278,357,338,213,256,385,265
MAN2B2,1196,1218,1856,864,1931,2026,1154
WASHC4,3871,4001,5322,3608,5029,6153,3527
USP22,18080,18986,20108,12943,19099,28550,18366
NEDD4L,2440,1833,1874,1800,1737,3481,2412
SASH1,517,400,996,408,765,839,476
TBC1D30,3276,3415,2900,2758,2491,4742,3091
TTC28,808,702,559,437,348,912,796
CLASP1,3848,4122,4285,2945,3438,5615,3591
DPY19L1,3294,3051,1952,2821,1579,5192,2917
SZT2,1503,1413,2599,805,2203,2597,1367
WDR7,818,916,880,688,804,1342,762
SYNM,100,89,206,50,130,179,126
JADE2,6090,5143,4004,2879,2660,7501,6157
VPS39,2159,2338,3368,1549,2965,3305,2137
AFF2,30,16,33,17,17,28,22
DNAJC16,993,1183,1515,1006,1579,2039,920
ESYT1,6377,5929,8321,3706,7989,9164,6258
SYNE1,208,160,290,131,157,317,177
SMCHD1,3744,3449,2909,2689,2289,5177,3374
DOCK9,1178,1267,1415,1235,1454,2223,1186
PHF24,0,0,5,0,2,3,1
FN1,520,557,1408,479,1369,753,487
U2SURP,5316,5390,4218,3961,3540,7068,4933
KHNYN,4067,3344,7171,2133,5363,5445,3882
UBR4,12749,12951,17616,10365,15692,21754,11893
SUN1,6315,6487,7478,4820,8516,10510,5955
HAUS5,1608,1059,895,611,438,1553,1486
VPS8,1672,1567,2215,1591,1986,2802,1526
ANGEL1,3062,3145,2996,1690,2644,4906,3143
USP24,2706,2875,2881,2245,2472,4132,2691
FAM189A1,10,1,3,7,19,10,2
FNBP4,5075,4839,4947,3756,3767,6264,4832
ZNF629,5050,4327,5918,2834,5224,6694,4701
PSD3,2894,3204,4622,2809,5121,5150,2505
OBSL1,3010,2389,7234,1571,4814,4442,3251
ARHGEF12,10836,10769,11435,9238,10748,16833,10034
KIAA0895,480,468,331,352,245,635,451
LARP1,30625,33368,25624,20922,24472,46771,30070
PPP1R13B,2379,2319,3016,1816,2691,3428,2327
PUM2,7765,7253,6600,6738,6564,12148,7210
ARHGEF18,1092,988,1614,631,1458,1925,1159
TNS2,2422,1910,2163,898,1249,3041,2316
CRTC1,1405,1342,1545,634,1327,2288,1438
UFL1,2125,3407,2557,1968,2486,3144,1847
RRP8,712,634,751,430,600,1143,741
ICE1,3938,4017,4238,3175,3624,5566,3881
SRGAP2,4495,3714,4359,2522,3737,5679,4164
SMG5,7744,6655,7917,4371,6985,11692,7792
AHCYL2,1095,1128,1120,965,1040,1815,1060
MAU2,3616,2825,4360,1783,3932,5488,3480
SPECC1L,1586,1273,1373,883,1228,2165,1395
NCSTN,5684,6662,7482,4482,7351,8953,5380
NUDCD3,2406,1989,2394,1307,2026,3314,2321
SIK3,1271,1325,1685,826,1569,1843,1218
MED13L,21854,19947,30335,16232,28194,29398,20400
FNTA,499,545,572,454,462,713,464
ZDHHC17,1092,1220,1123,810,850,1462,986
ECPAS,7107,8450,6431,5881,5782,10252,7042
ADNP,17320,18543,17455,16374,16412,27328,16425
LARS2,1033,992,947,655,688,1323,987
PIP5K1C,1570,1320,2727,948,2457,2940,1576
NCAPH,2202,1645,692,1162,218,2175,2150
PPWD1,1053,957,1093,804,780,1480,865
CTDNEP1,3519,3484,2878,2014,2586,5406,3321
ATP13A2,1100,905,1297,517,1360,1791,1132
FRAT2,1585,1683,1337,793,870,2277,1496
FBXO46,1433,1329,1436,728,1088,2252,1536
EXOSC2,1777,1466,1032,1052,786,2165,1784
DICER1,12812,9742,11726,10271,9895,17162,11360
COTL1,1452,1148,1812,816,1382,1892,1573
SIRT5,675,660,636,535,596,1148,614
SIRT4,97,150,389,78,284,233,102
SIRT3,607,660,524,343,522,880,605
SIRT1,1759,1716,2129,1535,2020,2468,1789
COMMD3,294,338,293,214,264,485,281
NCS1,2638,2308,2099,1542,2063,4362,2565
ZFPM2,0,0,7,0,9,0,0
KCNH4,5,1,4,1,5,6,3
KCNH3,120,173,128,45,131,160,126
MLYCD,689,629,1159,533,997,1320,702
CRB1,1,0,15,0,5,5,0
FNTB,47,44,34,51,22,62,42
NOMO1,697,40,33,47,441,46,38
ITGB3BP,495,399,170,331,74,446,425
TMED3,3037,3673,2769,1988,2988,6089,3016
TDRD7,397,333,588,437,495,674,351
GRIP1,589,638,591,664,667,1093,548
SLC7A8,238,325,2048,224,1233,347,257
RYBP,3814,2771,4024,2326,2760,3905,3459
AP4E1,6438,7070,6702,4722,5344,9033,5698
GPR161,110,81,129,88,123,168,105
RHOQ,2204,4426,2737,2379,3212,4466,2054
LINC01565,0,9,1,0,2,4,1
TARDBP,6383,5792,4539,4361,3906,8446,5737
TRS-AGA2-3,0,0,2,2,1,1,10
HARS2,1081,1436,1444,988,1274,2136,1109
OTP,12,25,3,4,6,24,16
SLC35A3,1148,867,1235,812,801,1421,1092
SLC44A1,8368,8593,6956,8028,7515,13774,8052
SF3B3,20069,18395,13336,11917,10591,26554,19434
SF3B1,14104,13808,15041,10609,12953,18280,13220
ANGPTL2,81,51,177,47,169,106,42
ABCB10,1127,867,383,688,286,1417,1131
ABCB9,816,731,825,360,552,1255,881
ABCA6,0,1,11,8,3,4,0
ABCA5,1713,1397,2658,1174,2126,2659,1464
HEY1,29,25,27,26,20,60,42
ICMT,4866,3604,3362,3179,2953,6275,4295
GCAT,766,703,434,366,333,1230,695
CBX6,11435,7921,9190,3289,7388,15097,11199
NPTXR,2304,2040,2199,1345,2110,4288,2170
CBX5,40340,32108,14762,23370,8645,46695,37187
PHF3,4285,4482,4502,3481,3883,6005,3931
TRAM1,7097,9822,3955,6555,4577,10057,6962
CAPN7,2656,2995,2747,2207,2373,4120,2447
ETHE1,176,183,123,97,84,281,227
QPRT,235,188,492,111,296,454,185
BRD4,7255,6661,7444,4711,6650,11443,6587
SEC11A,4425,4025,3298,3921,3349,6996,3943
ISCU,1295,1446,2136,1298,1852,2474,1293
SEC61G,282,476,271,245,354,616,286
PES1,3878,4351,3023,2170,2800,6448,3901
TGDS,307,367,336,265,228,481,222
LEPROTL1,1095,1274,1226,1082,1243,1890,1035
CES3,37,29,22,14,14,25,40
CBX7,548,433,463,245,413,710,562
HEY2,242,395,121,271,108,450,240
HAAO,160,83,138,31,48,59,135
MACF1,6302,5755,7658,5452,7568,11065,5584
DAAM2,40,28,19,6,18,29,31
ZFYVE26,2396,2093,3250,1738,2404,3668,2150
TMEM131,4088,4455,5155,3760,4666,6160,3680
BICRAL,2998,2944,3105,2419,2696,3996,3069
LRRC8B,2519,2507,2157,2007,1919,3403,2441
TTC9,603,354,696,366,684,724,497
POFUT1,2436,3210,1912,1592,1871,3990,2516
KCTD2,1667,1345,2084,1088,1712,2465,1654
NUP188,8803,7579,5627,5065,4336,11280,8090
SUZ12,3798,3541,2834,3093,2607,5076,3455
SCRIB,33,32,118,93,34,301,29
SPIDR,1766,1342,1321,1164,765,2391,1570
MORC3,870,966,1161,795,1197,1528,794
SLC39A14,3236,3787,1798,2173,1710,5231,3174
MTREX,3324,3562,3298,2581,2568,4775,3241
R3HDM1,3141,3597,2219,2665,1763,4315,2881
ANP32C,3,6,8,6,7,15,6
RPL13A,55863,48741,54813,38473,49726,98025,53163
KAT6B,3646,2671,3327,2552,2698,4284,3353
CABIN1,4705,4596,6269,3041,4801,7719,4494
SRRM2,61162,54798,68171,40362,56213,86737,56298
ARHGAP45,588,573,556,301,624,1065,597
ACAP2,6488,7105,6319,5841,5939,9770,6231
ZNF281,2415,2739,3376,2420,3379,4036,2461
CLCF1,137,122,277,70,509,219,140
FOS,2015,1846,9533,1666,8530,4122,2037
NNT,2738,2809,1648,2154,1301,4110,2719
MMD,672,536,321,521,231,949,734
PIK3R5,24,47,20,13,14,16,22
TNPO3,3115,3121,3285,2349,2519,4868,2794
ADAT1,2627,2474,2575,1932,2211,3923,2500
SLC16A8,19,20,117,10,58,28,27
FOSB,1038,418,4145,652,2686,1886,1045
TRS-TGA4-1,7,11,5,26,18,48,9
SEC14L2,359,284,404,216,333,489,354
MAPK8IP2,734,363,532,187,413,944,675
RBFOX2,148,208,187,134,200,236,119
ATP6V0A2,1686,1576,1661,1132,1133,2036,1559
SYNGR4,12,6,1,7,2,22,20
TTC33,233,146,246,164,137,229,259
DNPEP,4262,3626,3027,2103,2459,5780,4025
FOSL2,3089,3171,7664,1817,7608,4857,3096
PSD4,4862,3929,6249,2243,4704,7247,4703
RASD2,31,10,18,20,18,23,37
CDK20,336,368,378,192,329,505,310
HYAL4,0,0,2,0,9,0,0
TSPAN12,47,38,38,46,38,84,54
TSPAN15,2052,2491,5030,1387,4895,3812,1860
PIGN,1003,798,1023,698,632,1283,853
SNAPIN,1064,1128,1212,795,1023,1655,1054
WBP2,2565,2217,3112,1376,2737,3829,2417
WBP1,130,118,153,25,149,174,110
FPGS,2226,2521,2091,1216,1629,3897,2345
GTPBP4,2679,2606,2351,2336,2408,4115,2345
CHST5,23,24,18,3,13,41,18
ZNF346,1447,1239,1675,889,1107,1977,1356
ARL2BP,1351,1507,1262,1212,1215,2262,1293
PADI4,1,0,8,0,4,0,0
DDAH1,2609,1784,1270,1705,952,2828,2167
CDC42EP4,3519,2692,3149,1908,2474,4810,3476
CASP14,1,3,7,0,0,8,8
CCNDBP1,665,573,1183,520,1064,976,634
SMUG1,795,792,906,587,894,1250,759
VSIG2,54,24,12,16,1,54,52
TMEM50A,650,564,544,388,536,846,524
DDX58,301,332,817,254,659,556,312
ELP5,1102,1043,1647,561,1211,1705,1000
KLHDC2,1800,1872,2288,1340,1644,2554,1701
CARHSP1,2987,2222,1728,1347,999,3735,2980
FPR3,4,6,10,10,27,2,3
PDSS1,771,1036,380,755,341,1168,688
LEMD3,3909,3470,3580,2674,3187,5271,3512
HEBP2,852,1272,1424,855,1552,1884,827
ORC6,614,488,280,325,89,769,577
ORC3,1390,1397,1126,1135,852,1742,1168
OPN3,164,195,185,84,184,242,182
ACOT9,596,671,847,506,828,976,518
PATZ1,7403,7279,5695,4100,4638,11483,7482
AMACR,45,38,55,25,38,84,48
CLEC5A,16,0,11,4,20,26,8
CORO1C,3891,4237,3292,3583,3728,6191,3772
DAPK2,311,251,510,173,584,444,251
CD2AP,3454,2554,4922,1982,3184,3412,3133
MKRN1,3120,3481,4317,2796,4049,5153,2976
MKRN2,1447,1573,1685,1024,1364,2007,1424
PHLDA3,1422,1238,4672,1089,4768,4266,1508
ZMYND8,2840,3374,4850,2380,3572,4563,2551
PYY2,15,17,31,3,22,39,19
SH3BP1,862,790,521,358,487,1090,862
NTSR2,8,5,18,0,16,2,2
BACE1,4944,3960,5959,3243,4780,6923,4917
RUSC1,7374,5323,4498,3997,3303,10268,7437
CBLC,1,3,1,1,3,1,1
FAM89B,1105,837,1728,631,1770,2132,991
SPO11,4,0,3,0,2,2,0
BRD7P3,15,9,30,16,24,29,10
CA14,293,313,219,207,177,522,304
KPNA6,5552,5107,6684,3910,5843,8018,4970
SSBP2,1128,1192,1178,1072,1342,2342,1029
NUP62,6530,4619,3490,3430,2538,7666,6450
RABGAP1,4148,3927,4756,3515,4192,6523,3904
DNAAF11,27,4,19,13,6,2,10
HSPBP1,1289,1365,1000,617,922,2325,1407
LDOC1,3772,2968,5221,2545,3629,5700,3636
SNHG1,3193,3293,2437,1763,1745,3221,3031
EDC4,4318,4268,4921,2687,4439,6779,4396
PPP1R15A,434,470,1203,238,1040,623,427
PLD3,3060,3583,4511,1553,3417,5906,3053
ARFIP2,4825,5778,4006,3230,3212,7738,4874
SSBP3,791,815,916,547,939,1266,784
POLA2,2761,2067,1216,1469,502,3196,2603
TRIM29,14,11,591,5,299,32,10
PLXNB2,15971,18184,39571,11145,39128,33197,15988
SLC7A11,2468,5822,597,1468,835,2758,2387
LSM5,1236,1305,753,1068,558,1782,1168
PLA2G15,529,436,567,202,608,851,472
ZKSCAN5,1342,1295,1519,955,1356,2144,1311
CEMIP2,2489,3711,5897,2854,6540,5384,2207
TMEFF2,0,0,1,0,12,0,0
STX12,910,1026,1288,1033,1265,1759,763
SH3BP4,1980,2028,3354,1400,3301,3106,1947
SGK3,45,77,44,5,20,62,45
PRKD3,3349,2786,1897,2559,1434,4522,2979
CADM1,958,1414,2104,1198,2414,2151,1017
GABARAPL1,20,11,112,9,105,23,16
SHPK,1269,1087,1236,754,983,1810,1199
TMEM245,3208,2372,3405,1956,2470,3660,3269
EID1,3731,3586,7479,3067,6563,5549,3326
BHMT2,1,3,1,2,4,0,1
SDF2L1,1225,1897,360,601,285,1953,1204
PPIL2,2655,2560,2797,1367,2223,3589,2462
PITPNB,3867,3956,3148,3127,2871,5565,3533
PISD,4744,3628,6034,2638,4636,7795,4390
OSBP2,389,320,486,208,391,540,381
MAFF,99,99,198,48,179,171,87
IL17RA,1549,1415,2046,1243,2000,2583,1600
FLRT3,73,48,170,90,118,175,59
FLRT2,0,1,12,1,21,0,2
FLRT1,218,143,411,104,268,508,194
FKBP8,3853,3982,4513,1745,3794,6674,3833
BRD1,3330,2907,3710,2349,3573,5473,3289
ARHGAP8,58,40,152,30,131,88,62
APOL2,282,212,573,171,480,455,262
ANKRD62P1-PARP4P3,0,5,3,1,0,5,1
BCL2L13,2917,3296,3526,2460,3493,5441,2780
MTCH1,7482,6767,6434,4191,5597,11292,7207
MTCH2,4627,5276,3823,4149,3768,7876,4190
ALK,3,0,15,1,6,1,0
ALOX12,255,212,357,95,231,377,225
FXN,610,741,425,517,410,1058,584
ABCA4,73,14,3297,31,789,52,77
KIF4A,1126,1006,402,698,127,1407,1135
IFIT5,811,814,745,695,635,1138,832
EML2,577,636,1051,317,943,875,627
FTSJ1,745,962,552,597,500,1129,758
NAA80,262,172,389,68,289,290,205
TFIP11,1261,1295,1397,856,1193,1765,1321
PANX1,1641,1611,1411,1243,1260,2307,1646
CLDN15,360,305,437,139,306,424,382
FJX1,790,1143,418,464,523,1414,985
PRPF6,3484,3663,4077,2390,3881,5963,3269
ZNF318,3659,3447,3073,2603,2444,5099,3349
ALOX12B,18,6,25,1,0,3,16
FRK,488,632,2793,553,2079,964,420
ALOX12P2,469,385,958,323,794,973,444
SPDYA,15,19,28,14,28,42,24
CNPY4,480,311,577,219,245,572,471
ATP6V0D2,1,4,20,1,18,0,2
ATP6V1C2,70,68,207,61,140,106,83
ALOX15,510,501,703,376,561,821,497
CNOT6L,3402,3346,3171,2426,2723,4545,2953
GAS2L2,25,32,11,13,3,15,18
AKR7L,48,65,31,20,13,39,30
AKR7A2P1,6,6,7,2,6,17,13
CDC26,72,73,72,60,62,138,69
RNASEH1,724,903,568,475,530,879,670
AFG1L,266,317,324,199,218,416,247
C21orf91-OT1,0,2,2,3,1,3,1
STAC3,66,46,93,17,60,81,66
PELI3,874,516,737,313,562,1006,861
POLR2J2,17,47,48,30,37,101,36
MTVR2,22,24,18,5,9,17,22
SPESP1,228,275,209,255,159,348,188
IL27,0,8,1,1,1,1,0
MTOR,4645,5247,5506,3578,4970,7669,4489
FRG1,0,5,3,2,1,51,2
FRZB,4,0,2,0,0,5,2
ALPL,38,24,46,3,8,20,32
CENPI,958,609,377,572,98,1152,770
FSHR,0,0,9,0,1,4,0
NR5A2,1069,1334,812,1050,535,1568,1042
FTH1,18002,24488,19274,13164,24825,36546,17115
FTH1P3,37,32,84,59,58,95,35
ABL1,5751,5697,4953,3491,4071,8274,5565
ALPP,2,0,18,1,7,1,1
FTL,7281,8097,8578,5368,8361,14763,7083
FUCA1,455,470,522,415,583,690,402
FUCA2,2566,3175,2072,1920,2142,4194,2584
GAST,0,1,1,0,2,8,1
FUS,5985,7230,6114,4117,4893,9648,5829
FUT1,747,888,866,416,831,1244,778
FUT2,115,75,102,69,85,163,75
FUT3,1,2,4,1,1,10,0
FUT4,219,354,305,197,289,487,246
FUT5,23,13,15,2,14,13,5
FUT6,9,5,4,0,5,0,3
TMEM9,2827,2828,1952,1433,1576,4386,2649
ZNF396,103,55,200,70,167,126,92
FUT7,12,6,27,11,14,17,8
NEIL2,406,635,391,270,397,813,379
STXBP4,1005,908,900,793,660,1459,1031
FNDC5,40,22,49,26,26,53,31
FUT8,3169,2550,5078,2742,4688,4670,2961
HEPACAM2,0,0,7,3,1,2,0
CUTALP,904,992,1323,689,864,1323,953
KDSR,1438,1228,1150,1078,1010,2004,1308
LINC00612,7,34,27,10,23,19,13
PRR14L,7965,7583,9629,6641,8998,11912,7459
EPHX4,47,39,24,65,15,81,47
SERHL2,523,330,513,247,363,657,509
RICTOR,4993,5088,6342,4421,5638,7408,4539
FYB1,2,2,13,3,8,1,3
EIF4E1B,0,3,6,0,4,3,3
FYN,121,175,132,90,295,174,87
IPMK,1630,1517,1523,1138,1007,1924,1579
ZBTB38,2169,1631,3279,1562,2410,3038,1924
FZD2,589,1005,798,394,673,1182,536
SLC25A30,1059,625,2101,848,1746,1593,946
LCLAT1,2319,2375,1458,1831,1131,2842,2257
CADM2,0,0,3,0,8,0,0
GPATCH11,574,612,365,497,274,836,538
ZNF620,639,450,442,500,327,811,698
ANKRD18A,497,416,481,305,270,606,455
IFI6,53,23,240,40,106,97,40
MMS22L,3523,3023,1763,2639,828,4639,3361
TTC41P,49,84,24,37,22,98,55
WASHC2C,924,861,1150,707,1072,1364,695
EBF3,22,12,35,16,198,34,9
WDR27,1350,917,1792,828,1274,2117,1263
CERS6,7033,4916,2946,3552,1794,6046,6332
G6PC1,0,0,1,0,0,5,5
MSRB3,174,172,210,147,152,333,190
ZDHHC20,7174,7082,4912,5650,4420,10402,6445
G6PD,11546,13160,29746,7405,30537,23008,10933
YTHDF3,2683,2487,3204,2380,3352,4309,2614
RALGAPA1,4644,4250,5861,2968,4095,5550,4223
CACNA1G-AS1,10,7,22,9,15,10,3
KCTD13,989,1162,1400,639,1325,1902,934
ASPHD1,505,430,422,145,386,833,439
ETFBKMT,41,37,29,5,34,61,30
METAP1D,492,570,256,311,249,640,423
UBN2,3344,3230,5138,2721,4252,4960,3036
LRRC43,1,4,5,0,4,1,0
BRWD3,926,828,714,883,671,1321,879
ZNRD2-DT,83,71,114,40,82,142,92
EHBP1L1,1276,979,1091,543,1111,2092,1216
SNX32,371,492,806,159,594,556,410
NIFK-AS1,94,123,137,100,120,222,111
CXorf58,0,3,4,0,2,1,3
FBXO33,1761,1508,2164,1172,1623,2323,1705
TTLL10,9,5,37,3,20,21,15
TSGA10IP,3,1,6,0,5,1,3
SLC37A4,2757,2314,1685,1273,1332,3829,2703
RNF169,4194,4122,3687,3005,3209,5612,3873
LCORL,1308,1295,1021,1356,933,2156,1164
CNIH2,641,287,235,196,120,761,544
AKNAD1,3,0,21,1,6,1,5
PHYHD1,2,2,6,4,4,11,2
ZDHHC24,542,734,923,149,839,1193,563
MCM9,1767,1717,1595,1233,1290,2388,1645
PROSER2,380,364,330,292,387,635,348
SLC41A1,1758,2711,2029,1642,1883,3486,1779
C11orf86,0,0,8,1,5,1,0
MEIOB,69,92,175,55,110,141,116
LPCAT4,870,600,740,475,804,1408,853
NUDT8,272,264,170,177,149,583,323
MIR9-3HG,663,447,372,294,204,712,562
XRCC6,8305,7504,6089,5902,4517,10770,7923
LYG2,55,47,84,49,42,99,44
VXN,90,154,119,83,88,168,86
GAA,6221,5501,8482,2701,6727,10576,6267
NAALADL2,1162,1220,1746,1314,1767,2212,1092
TMEM256,181,178,326,125,270,431,209
ZDHHC23,1645,1437,1197,1055,1070,2366,1646
LOC254896,4,11,15,2,9,6,4
GAB1,1980,1663,3294,1657,2911,2700,1823
CALHM1,11,11,37,3,25,22,5
LINC00957,26,14,59,10,45,28,29
TMEM86B,151,104,240,70,173,204,119
CBARP,209,136,348,106,465,421,231
TAC4,27,13,51,8,28,33,3
CASC2,87,73,78,75,45,116,71
GABPA,1389,1444,1009,1136,973,1855,1224
CFAP65,129,192,153,88,110,224,170
TMCO4,336,312,332,140,217,464,335
SH3TC2-DT,3,1,3,0,6,7,0
PLA2G4F,74,70,227,42,206,130,55
CSNK1G2-AS1,21,20,52,7,40,33,14
MCOLN2,19,45,17,19,33,43,22
ANKK1,17,6,56,10,14,34,25
LRRC57,452,399,594,304,474,614,397
MYADML2,108,126,46,65,72,383,122
GABPB1,3357,3549,2182,2669,2225,4312,3148
EPGN,10,8,35,3,16,15,15
MBLAC1,235,157,156,65,82,272,262
TCP11L2,298,315,918,248,626,485,296
GABRA1,11,3,28,11,22,29,7
ZNF718,2209,1675,1831,1484,1023,2864,2178
TEX49,5,4,8,3,1,15,12
RASGEF1C,34,35,24,21,31,39,23
RNF144B,1125,766,822,638,511,1295,977
TOLLIP-DT,55,102,66,30,83,157,40
ELMOD2,1858,1649,1859,1262,1414,2198,1660
GABRA3,0,0,12,0,3,0,0
COL24A1,8,35,37,15,15,51,15
NPNT,7055,4030,9299,5299,7550,9805,7307
DYNLT2B,253,186,242,166,143,428,259
PDZD9,168,147,227,123,140,231,131
INAFM1,389,281,328,224,408,689,391
C19orf38,11,16,16,5,2,14,9
SDHAP1,975,716,1274,547,937,1584,935
BCL6B,2,9,3,1,0,8,3
GABRA6,0,0,6,0,6,1,0
CNEP1R1,362,371,495,295,469,628,347
SYT14,0,3,17,0,3,0,1
PAN3,3820,3484,3865,2813,3214,5341,3603
ANKRD31,40,84,89,53,42,137,34
LINC01619,14,28,27,10,9,8,9
ZNF549,64,79,99,27,69,78,53
GABRB2,7,7,39,28,27,34,22
SYCE2,69,53,50,38,29,109,47
HMCN2,7,3,24,3,20,7,12
GABRB3,0,0,5,0,11,3,0
NAPSB,21,28,32,11,24,41,14
NUDT14,589,469,492,334,584,1253,627
GABRD,27,10,12,11,13,27,30
NATD1,193,113,766,133,675,450,214
CCDC110,130,121,121,107,74,131,78
LMNTD2,1,2,1,0,9,6,4
RPS2P32,9,6,18,3,10,17,10
GK5,1983,1794,1588,1231,1023,2468,1936
EML3,3343,2635,2172,1076,1570,4705,3451
SERPINA11,5,1,14,7,6,10,12
MFSD8,861,716,982,694,846,1098,763
TMEM151A,11,17,20,6,21,37,39
TCERG1L,2,5,8,0,8,0,0
LYSMD2,2012,2091,1435,1500,1368,3008,2017
GABRG2,29,59,39,28,23,85,36
BCLAF3,474,532,882,483,785,856,420
NUTM1,8,7,18,2,21,3,6
MAMDC2,25,54,27,26,28,60,18
GLIPR1L1,1,13,9,9,8,8,6
MAP7D2,4,0,20,3,16,7,6
WDR72,259,206,322,176,149,212,256
