Genes,WT_serum_Sc_2,R175_serum_A5,WT_doxo_Sc,WT_serum_A5_1,WT_doxo_A5,WT_serum_A5_2,WT_serum_Sc_1
NCL,11622,12221,8434,8773,7253,17034,10753
NDP,0,0,20,0,2,1,0
NDUFA1,727,797,561,388,516,1359,714
NDUFA2,703,773,903,536,724,1251,741
NDUFA3,0,2,2,0,3,7,10
NDUFA4,3581,4449,3653,3263,3249,5766,3503
NDUFA5,971,1185,875,985,728,1585,1053
ACLY,25063,21770,18216,17835,16288,36758,24349
NDUFA7,999,1107,1086,609,1007,1606,918
NDUFA8,567,690,440,427,430,1084,492
NEB,1403,1593,1968,1088,1435,2057,1282
NDUFA9,880,1100,614,654,498,1272,782
NDUFA10,1780,1952,1750,1380,1661,2946,1770
NDUFAB1,1863,1927,1508,1348,1368,2983,1702
NDUFB1,591,544,588,431,468,1185,467
NDUFB2,474,415,474,238,377,847,412
NDUFB3,909,984,828,818,616,1311,908
ATIC,7504,8342,6277,6955,5736,12356,7665
NDUFB4,2041,2085,2598,1673,2070,3293,1781
NDUFB5,2247,2679,2315,2198,2106,4685,2235
NDUFB6,654,679,548,432,403,1079,667
NDUFB7,866,995,778,523,731,1636,847
NDUFB8,670,822,574,407,465,1329,707
NDUFB9,1685,2467,1484,1615,1367,3780,1656
NDUFB10,1188,1142,964,688,835,2047,1021
NDUFC1,736,937,724,571,576,1438,777
NDUFC2,1273,1244,1116,1199,907,2023,1243
NDUFS1,3751,4237,3074,2417,2085,4959,3543
ATM,3680,3751,2852,2732,1997,5279,3430
NDUFS2,3486,4273,2861,2808,2805,6038,3674
NDUFS3,1901,2219,1493,1301,1182,3435,1693
NDUFV1,3575,3864,3185,1870,2800,6521,3315
NDUFS4,901,1137,698,802,750,1503,783
NDUFS5,202,271,290,203,287,503,255
NDUFS6,302,303,282,247,252,627,278
NDUFS8,2347,2682,1876,1558,1815,4698,2438
NDUFV2,2205,2598,2034,1857,1622,4036,2111
RERE,5738,5892,5917,4182,5414,9260,5365
NDUFV3,1650,1903,1828,1508,1644,2974,1608
DRG1,1433,1424,1402,1113,1094,2206,1243
NEDD4,3875,3962,2736,3076,2421,5323,3323
SEPTIN2,10411,9615,9222,8260,8052,14926,9564
RPL10A,18715,18971,20628,14576,18864,29863,18561
NEDD8,1571,1480,1602,910,1373,2895,1499
NEDD9,232,215,905,171,697,350,238
NEFM,1,2,3,1,4,3,2
LRRC37A2,11,0,7,33,6,9,4
SUMO1P3,44,40,96,15,70,100,48
SPIN2B,63,78,81,27,56,102,71
F8A3,1,1,4,0,1,3,2
NEFH,12,22,25,5,17,22,4
NEFL,0,1,0,4,0,8,0
ATOX1,539,702,827,641,889,1298,482
NEK1,592,632,562,527,390,943,553
NEK2,542,452,295,348,90,552,503
NEK3,267,300,187,206,170,357,224
NELL2,177,63,185,81,70,226,159
NEO1,5222,5411,4077,4224,4209,7758,5034
ATP1A1,25885,30242,24038,20848,24575,44322,25068
NF1,7868,7453,10048,5996,7826,10540,7002
ATP1A2,0,0,2,0,103,5,2
NF2,4981,4469,3634,2830,3143,7029,4828
NFATC1,895,740,575,400,506,1179,849
NFATC2,1307,1440,3967,1019,3692,2163,1165
NFIA,5873,7179,4867,4915,4885,8608,5344
NFATC3,5440,5130,4707,4343,3922,7882,4902
NFATC4,177,203,204,96,134,256,226
NFE2,3,0,11,0,12,0,1
NFE2L1,8816,8632,9165,5570,8071,13000,8734
ATP1A3,171,98,129,84,90,223,202
NFE2L2,2869,3215,3578,2936,3680,4836,2841
NFIB,5478,4262,5385,3527,5355,6440,5028
NFIC,11232,9322,7472,5113,5444,15236,10502
NFIL3,391,433,379,387,355,541,379
NFIX,2889,2360,859,1333,1140,4251,2860
ATP12A,1,1,8,2,3,4,0
NFKB1,1682,1836,1438,1427,1253,2448,1466
NFKB2,857,611,1571,332,1209,1190,835
NFKBIA,4578,4533,6826,2886,4810,6986,4704
NFKBIB,766,714,646,329,458,1051,699
NFKBIE,178,174,297,144,241,383,180
TONSL,3282,2046,1593,954,829,3932,3271
NFRKB,1787,1684,2014,1143,1927,2639,1669
NFX1,2012,1923,2580,1445,2215,2678,1831
ACO1,362,330,365,268,401,571,311
ATP1A4,1,0,15,0,7,4,0
NFYA,2404,2461,2035,2071,2015,3721,2259
NFYB,1408,1251,1585,1120,1194,2079,1342
NFYC,1083,948,1147,696,877,1573,1015
NGFR,46,47,104,10,75,46,35
