"","genename","ensembleID","entrezgene_id"
"MAPK8IP2","MAPK8IP2","ENSG00000008735",23542
"MED24","MED24","ENSG00000008838",9862
"RHOBTB2","RHOBTB2","ENSG00000008853",23221
"HEATR5B","HEATR5B","ENSG00000008869",54497
"SEC62","SEC62","ENSG00000008952",7095
"RPS20","RPS20","ENSG00000008988",6224
"CSDE1","CSDE1","ENSG00000009307",7812
"UBE3C","UBE3C","ENSG00000009335",9690
"REV3L","REV3L","ENSG00000009413",5980
"TENM1","TENM1","ENSG00000009694",10178
"PAX7","PAX7","ENSG00000009709",5081
"MASP2","MASP2","ENSG00000009724",10747
"IYD","IYD","ENSG00000009765",389434
"FAM76A","FAM76A","ENSG00000009780",199870
"TRAF3IP3","TRAF3IP3","ENSG00000009790",80342
"POMT2","POMT2","ENSG00000009830",29954
"VTA1","VTA1","ENSG00000009844",51534
"MLXIPL","MLXIPL","ENSG00000009950",51085
"BAZ1B","BAZ1B","ENSG00000009954",9031
"RANBP9","RANBP9","ENSG00000010017",10048
"ETV7","ETV7","ENSG00000010030",51513
"SPRTN","SPRTN","ENSG00000010072",83932
"METTL13","METTL13","ENSG00000010165",51603
"DYRK4","DYRK4","ENSG00000010219",8798
"ZNF207","ZNF207","ENSG00000010244",7756
"UQCRC1","UQCRC1","ENSG00000010256",7384
"STARD3NL","STARD3NL","ENSG00000010270",83930
"CD9","CD9","ENSG00000010278",928
"HHATL","HHATL","ENSG00000010282",57467
"NCAPD2","NCAPD2","ENSG00000010292",9918
"IFFO1","IFFO1","ENSG00000010295",25900
"GIPR","GIPR","ENSG00000010310",2696
"PHF7","PHF7","ENSG00000010318",51533
"SEMA3G","SEMA3G","ENSG00000010319",56920
"NISCH","NISCH","ENSG00000010322",11188
"STAB1","STAB1","ENSG00000010327",23166
"FUZ","FUZ","ENSG00000010361",80199
"SLC6A13","SLC6A13","ENSG00000010379",6540
"IDS","IDS","ENSG00000010404",3423
"PRSS3","PRSS3","ENSG00000010438",5646
"ZNF200","ZNF200","ENSG00000010539",7752
"CD4","CD4","ENSG00000010610",920
"LRRC23","LRRC23","ENSG00000010626",10233
"BTK","BTK","ENSG00000010671",695
"HFE","HFE","ENSG00000010704",3077
"SCMH1","SCMH1","ENSG00000010803",22955
"FYN","FYN","ENSG00000010810",2534
"HIVEP2","HIVEP2","ENSG00000010818",3097
"FMO1","FMO1","ENSG00000010932",2326
"TCEB3","TCEB3","ENSG00000011007",6924
"LYPLA2","LYPLA2","ENSG00000011009",11313
"CLCN6","CLCN6","ENSG00000011021",1185
"MRC2","MRC2","ENSG00000011028",9902
"NME1-NME2","NME1-NME2","ENSG00000011052",654364
"SLC6A7","SLC6A7","ENSG00000011083",6534
"TSPAN9","TSPAN9","ENSG00000011105",10867
"BTBD7","BTBD7","ENSG00000011114",55727
"APBA3","APBA3","ENSG00000011132",9546
"MKS1","MKS1","ENSG00000011143",54903
"ABHD5","ABHD5","ENSG00000011198",51099
"ANOS1","ANOS1","ENSG00000011201",3730
"AKAP8L","AKAP8L","ENSG00000011243",26993
"MBTD1","MBTD1","ENSG00000011258",54799
"UTP18","UTP18","ENSG00000011260",51096
"RNF216","RNF216","ENSG00000011275",54476
"TTC19","TTC19","ENSG00000011295",54902
