Genes,control_1,control_2,Nutlin_1,Nutlin_2
HNRNPF,10252,9119,9460,5659
HNRNPH1,9394,9847,7836,5325
HNRNPH2,1634,1669,2766,1787
HNRNPH3,5391,5461,3834,2421
HNRNPK,18140,17053,19226,12067
TTC6,330,305,489,330
HNRNPL,8210,7697,6526,4164
KRT73,119,90,0,0
HNRNPU,15540,14690,11436,7480
TLX1,4,2,10,4
TLX2,0,0,12,2
ACACB,973,668,629,365
APBA1,44,50,103,53
HOXA3,8,8,10,4
HOXA4,35,24,14,7
HOXA5,52,50,82,60
HOXA6,7,14,23,7
HOXA7,6,4,4,5
HOXA10,42,32,69,28
HOXA11,63,49,111,53
HPCA,17,16,11,8
HOXA13,16,10,26,12
APBA2,98,68,114,76
HOXB1,2,4,11,5
HOXB2,33,15,23,7
HOXB3,5,6,9,3
HOXB6,10,13,15,4
HOXB7,112,138,140,72
HOXB9,41,32,25,13
APBB1,8,8,14,6
HOXC4,26,22,20,20
HOXC5,43,33,13,6
HOXC6,135,135,145,76
HOXC8,105,76,57,48
HOXC9,174,200,173,104
HOXC10,389,354,466,285
HOXC11,364,333,303,176
HOXC12,25,28,9,7
HOXC13,898,979,1426,993
APBB2,726,702,814,521
HOXD1,6,11,7,4
HOXD8,16,14,7,9
HOXD12,4,3,6,5
APC,2092,2352,3325,2583
HPCAL1,1309,1212,1357,860
HPD,12,10,14,14
HPGD,3,5,2,2
HPN,11,5,35,12
HPRT1,1713,1533,911,602
HPS1,535,480,942,615
HPX,23,20,93,50
ZAR1,125,121,170,129
HRAS,1591,1417,1892,1059
RAB37,100,88,454,297
MMAB,982,834,1142,689
AGFG1,2370,2145,3003,1930
AGFG2,374,331,426,224
HRH1,27,31,60,46
APEH,3435,3144,4122,2542
HRC,9,6,9,3
HRH2,30,41,26,21
PRMT2,1534,1562,1948,1327
PRMT1,9690,8877,7410,4918
APEX1,5135,4890,6028,3705
HES1,533,513,1335,827
HSBP1,6573,6435,8216,5121
BIRC2,577,580,878,537
HSD11B2,137,93,59,40
HSD17B1,69,63,126,89
HSD17B4,3770,3878,4943,3469
HSF1,2870,2354,3468,2041
HSF2,278,290,289,232
HSF4,388,273,670,460
ACADL,4,2,12,6
BIRC3,40,12,104,33
DNAJB2,811,798,1521,974
DNAJA1,5473,5343,5404,3278
HSPA1A,7978,8143,7890,5846
HSPA1B,7735,7997,7711,5723
HSPA1L,213,210,173,132
HSPA2,244,268,134,67
HSPA4,7545,7197,8952,5571
HSPA5,15427,15027,17414,11384
XIAP,1951,1887,2736,1658
HSPA6,7,9,21,3
HSPA7,3,4,8,3
HSPA8,47478,50905,35973,27602
HSPA9,21914,20536,18137,11045
HSPB1,18080,16862,35720,27770
BIRC5,3192,3112,223,192
HSP90AA1,83558,87711,60003,39755
IGSF3,6561,6578,10546,6901
HSP90AB1,77189,70671,56146,35335
HSPD1,28599,26489,20089,12386
APLP1,380,393,462,284
HSPE1,3084,2993,2207,1416
DNAJB1,4178,4454,5037,3278
DNAJC4,169,172,311,217
HSPG2,745,674,866,870
PPM1J,124,125,284,191
SNAI3,16,27,35,31
H3C15,17,15,20,11
APLP2,11711,11118,14735,9266
NDST1,3691,3519,4883,3306
FOXN2,672,669,628,439
APOA1,28,18,100,32
HTR1D,24,30,10,5
HTR2C,55,55,123,112
HTR6,7,3,1,1
HTR7,6,5,6,6
HUS1,320,319,385,211
TNC,2,6,6,11
HYAL1,7,9,13,12
IARS1,11821,10456,10735,6308
UBAC2,902,833,1211,781
H2BC20P,92,99,102,59
H2BP1,7,5,23,13
ST7-OT4,5,2,3,2
FAM151A,9,9,16,9
ICA1,828,765,1940,994
ICAM1,33,36,57,32
NLRP9,3,3,1,4
S100A7A,6,5,10,0
RAB7B,7,4,23,8
H2BP2,8,10,27,18
ANO9,17,19,57,29
HCAR2,16,24,47,25
ICAM3,473,423,404,207
ST8SIA6,582,677,1461,1113
LUZP2,6,14,3,3
KRTAP5-AS1,109,84,153,116
CENATAC,333,290,450,312
ANKRD13D,569,522,627,438
ANKRD42,337,284,644,357
B4GALNT4,1151,1141,1290,998
ATP2B1-AS1,104,93,220,111
C1QL4,15,10,0,1
KRT79,69,5,47,30
LINC01089,223,154,329,157
TAFA2,3,7,11,1
C1QTNF9,9,5,13,7
WHAMMP3,66,72,66,41
PKD1P1,1562,1307,1512,1065
LOC339059,2,1,4,5
PRSS53,166,123,65,35
RAB43,272,240,580,353
JMJD8,3200,2750,3151,2002
METTL2A,1519,1431,1605,1006
ASB16-AS1,117,102,194,108
C17orf67,145,109,68,63
OXLD1,478,374,596,383
CCDC137,1331,1158,940,598
ARL16,218,230,182,129
MSL1,2069,2151,2465,1741
LINC00667,32,18,47,25
ZNF181,132,130,207,144
ZNF260,617,653,893,693
ZNF546,24,26,41,43
MYPOP,188,187,192,123
ADAMTSL5,263,282,291,276
ANKRD45,1,2,7,4
C1orf174,461,443,323,203
KLHL17,540,629,403,278
TMEM52,40,38,31,6
BRINP3,2698,2668,1927,1255
MTMR9LP,28,28,50,30
ZBTB8OS,467,494,572,306
TFAP2E,17,17,12,12
ZNF678,189,202,188,123
LINC01140,2,3,3,4
ARMH1,6,0,26,20
ZFP69,144,159,117,78
MRPL58,914,844,872,516
SLC35E4,155,144,171,119
SMIM45,11,8,1,4
ID1,3914,4863,6730,5279
FAM201B,4,5,6,4
SPOPL,2344,2310,2279,1666
MAP3K20-AS1,93,85,54,31
ID2,1495,2292,1840,1707
C2orf74-DT,141,131,218,116
C2orf74,207,207,304,161
LINC02579,1,2,23,13
LINC01115,3,2,15,13
CCDC39,3,7,11,7
KY,2,0,19,13
BALR6,49,70,83,43
APRG1,13,7,17,15
ID3,808,1237,2930,2712
EHHADH-AS1,11,12,21,12
LPP-AS2,49,51,79,53
H1-10-AS1,79,100,85,55
TMPRSS11A,2,3,20,19
NAT8L,817,644,522,357
LINC02481,19,14,36,13
ACADM,664,613,661,377
ID4,240,331,437,376
PRR7-AS1,14,12,11,12
STING1,5,1,10,6
ANKRD34B,66,80,116,63
MYLK4,213,193,168,109
CLPSL1,11,7,6,9
ZNF680,470,450,390,222
UNCX,16,6,6,0
COL28A1,4,18,29,23
FAM221A,51,45,67,37
CTAGE6,22,18,36,19
TSPAN33,267,284,334,232
AGBL3,11,10,11,3
NRBP2,754,636,1384,798
ZNF517,170,165,257,166
WDR97,434,339,304,197
TMEM249,90,65,72,55
ZDHHC21,746,748,940,606
ACER2,201,220,1527,746
RTL5,70,83,876,471
NHSL2,8,4,48,26
PABPC1L2A,54,41,78,30
NEXMIF,91,89,70,51
BEX5,12,19,40,19
TCEAL5,14,13,31,11
MORF4L2-AS1,59,57,68,43
SATL1,26,20,24,16
CA5BP1,399,397,337,236
VWA2,3,8,9,8
NANOS1,79,68,184,126
HMX3,13,9,16,13
MALRD1,791,844,744,668
APOC1,4,4,3,5
LOC341056,160,167,123,81
HEPHL1,6,10,13,7
SYT10,60,64,120,73
IDE,2549,2575,3419,2065
FREM2,4690,4949,3613,3697
NEK5,22,17,27,29
IDH1,3963,3641,4252,2658
IDH2,5234,5355,7376,4942
IDH3A,2568,2207,2244,1216
IDH3B,1523,1448,1463,1013
GLDN,71,63,172,97
IDH3G,1700,1468,2456,1381
TMC3,5,7,9,5
ZNF774,29,47,96,64
FMN1,1059,1056,2541,1866
IDI1,2877,2580,3544,2488
IDS,2355,2101,4588,2619
ZKSCAN2,327,276,440,237
ATXN1L,3593,3557,4264,2718
PKD1L3,5,5,11,6
IDUA,200,137,587,352
SMTNL2,42,55,42,76
NACA2,207,167,272,138
ANKRD62,7,11,27,13
ZNF850,75,102,54,33
NCCRP1,10,10,27,24
IFI27,3,2,4,3
ZNF404,16,6,18,13
ZNF284,19,20,29,28
C19orf81,57,50,63,29
ZSCAN5B,5,4,11,5
ZSCAN22,167,196,208,131
PALM3,70,74,112,103
IFI35,87,87,155,115
HNRNPCL1,198,193,178,89
CCDC18,490,485,305,209
SP110,115,129,207,138
IFIT2,24,14,65,16
IFIT1,20,14,49,19
NBPF7P,14,17,25,18
DYNLT4,4,3,69,35
IFIT3,16,4,26,12
XKR7,33,29,58,28
CRACDL,684,668,1146,754
NCKAP5,129,131,287,166
FOXI3,20,12,9,2
PRORSD1P,78,55,112,70
SH3RF3,3,3,6,7
DUBR,97,86,255,173
LRRIQ4,10,3,11,3
ZNF860,246,222,293,187
TMPRSS7,0,0,11,8
COL6A4P1,14,11,20,15
LOC344967,56,71,60,28
SOWAHB,70,104,277,164
MSANTD1,101,105,137,135
IFNAR1,937,931,1193,722
ZNF879,51,52,95,68
IFNAR2,199,238,172,137
MCIDAS,72,72,31,26
FAM174A,274,265,383,232
MTX3,1357,1201,1554,1089
RSPH4A,4,2,18,12
IFNGR1,631,603,912,537
ECT2L,2,6,3,2
IFNGR2,185,185,377,245
EYS,6,2,3,2
ZNF391,35,29,64,34
MACC1,57,37,339,119
GARIN1A,11,14,18,7
STRA8,1,1,19,18
KLRG2,435,361,654,350
APOD,18,23,89,69
ADGRD2,11,7,10,9
QRFP,17,22,31,15
KIF24,357,395,181,108
IGFBPL1,13,16,22,16
CAVIN4,15,17,24,16
ZNF81,217,187,418,281
ITIH6,8,9,26,24
SOWAHD,7,13,10,9
IFRD1,1276,1245,832,492
IGBP1,348,375,882,512
TUBB8,83,88,45,35
USP32P3,430,427,578,378
CATSPER3,18,21,21,11
TUBB2B,659,634,329,278
SLC35B2,2955,2720,3868,2337
SERINC2,423,462,782,553
NME9,56,60,91,59
C6orf52,16,11,21,10
GATD1,881,872,1012,586
AMIGO2,208,275,63,67
EP400P1,76,90,84,67
APOE,53,50,124,84
IGF1R,5040,4342,9464,5850
TMEM255B,2,7,9,9
RBPMS2,135,92,71,38
ANKDD1A,11,17,9,13
IGF2,267,346,121,114
ARPIN,69,64,293,152
CLEC18A,23,8,34,17
CTU2,1159,966,632,376
IGF2R,4176,3603,6291,4362
SKA2,5658,5649,5618,3085
CCL15-CCL14,2,5,6,4
CCDC144CP,10,7,10,12
MCRIP1,214,203,506,282
IGFALS,10,11,11,11
ZNF530,130,147,50,40
FAM131C,33,27,29,21
IGFBP2,3071,2972,4130,2580
IGFBP3,13,13,26,14
GEN1,1232,1284,459,314
IGFBP4,4640,3566,9372,5866
FTCDNL1,141,121,136,86
WDR53,355,324,255,163
IGFBP5,3978,3727,13421,9377
LNP1,118,114,101,56
NPHP3-AS1,5,10,4,4
IGFBP6,26,34,36,22
FAM86EP,276,254,407,256
NUP43,1068,1050,762,527
IGFBP7,108,119,121,80
ZNF713,47,52,102,73
CCN1,284,381,395,382
LINC00265,191,148,376,249
WDR86,40,41,47,38
GJC3,2,3,10,7
FOXD4L4,5,6,4,3
NMNAT3,28,37,45,37
RTN4RL2,38,29,19,5
IGHE,17,7,18,21
ACADS,115,94,169,98
IGHMBP2,396,469,458,321
APP,8021,7261,10004,6273
RBPJ,1830,1843,1856,1092
DNAAF3,161,168,141,100
CASTOR3,184,231,601,451
HLA-V,3,4,8,4
APRT,3869,3313,4202,2600
ZNF429,434,452,890,598
RAET1G,15,13,28,16
RILPL1,373,341,491,269
LCE1B,2,0,21,4
LCE1E,0,0,36,19
TBC1D26,2,5,3,3
ZACN,305,300,503,341
SLCO4C1,84,70,51,28
KAAG1,45,38,57,45
ZNF445,380,366,478,358
ANKRD37,25,34,38,32
ZNF233,29,28,52,56
TICAM2,64,36,53,34
POLN,27,35,19,11
BMP8A,88,90,113,58
IGSF1,43,65,66,60
FAS,239,194,2160,1019
IK,2378,2351,3460,2115
IKBKB,429,425,751,430
IL1R1,346,356,254,149
IL1RAP,71,100,120,82
IL1RN,24,22,264,145
IL2RB,2,1,5,5
IL3RA,3,1,7,2
IL4R,458,384,1489,814
SHROOM2,1234,1211,1578,1088
IL6R,100,63,129,71
IL6ST,2961,2844,3311,1918
IL7,2,5,6,1
IL9R,67,51,62,38
IL10RB,225,242,414,236
IL11,23,30,37,18
IL11RA,21,19,36,12
IL12A,9,7,14,10
IL13RA1,2122,2028,3349,1885
PEG13,5,7,10,7
MRPL42P5,9,6,30,14
RFLNB,40,28,10,8
IRF2BP2,1145,909,2491,1341
ACADSB,752,730,885,558
AQP3,468,220,3585,1017
ZBTB41,1130,1161,1289,1021
IL15RA,153,105,119,74
FKBP9P1,462,450,497,314
TMPRSS9,24,12,10,12
IL16,48,52,52,42
IL18,7,11,30,25
FOXK2,1980,1915,2096,1387
ILF2,8133,8207,5430,3573
ILF3,12064,11092,8584,5738
ILK,777,830,985,716
IMPA1,182,162,164,100
IMPA2,696,601,294,199
IMPDH1,3805,3519,3336,2140
IMPDH2,5011,4535,5191,3173
IMPG1,8,6,3,5
INCENP,2421,2400,457,359
ING1,470,433,275,253
ING2,283,266,177,121
INHA,122,63,163,85
INHBA,3,2,8,8
INHBB,4238,3678,9639,6090
INHBC,3,3,5,6
INPP1,131,104,446,246
AQP6,5,6,10,6
INPP4A,909,954,1238,897
INPP5A,1085,1042,1342,828
INPP5B,357,380,439,229
INPP5D,4,6,358,156
INPPL1,8185,7199,9332,5887
INSIG1,2300,2259,3527,2161
INSR,424,454,630,421
EIF3E,11630,10853,16389,9587
PDX1,20,14,9,6
IPP,493,526,617,376
IRAK1,6322,5770,5218,3501
ITGA6,1726,1638,1316,814
IRAK2,11,7,9,4
IREB2,4427,4316,5365,3665
IRF1,260,215,574,287
IRF2,397,410,628,346
IRF3,1958,1758,2144,1476
IRF5,235,219,342,217
IRF6,508,490,964,743
IRF7,32,18,33,28
IRS1,4277,4106,5321,4099
ISG20,176,82,212,77
AR,1279,1293,1534,1237
ITGA1,4,6,7,6
ITGA2,1930,1647,2167,1326
ITGA2B,109,106,13,11
ITGA3,1219,1153,3025,1929
ITGA5,566,424,999,560
ITGA7,66,58,54,42
ABCC6,40,44,112,76
ITGA9,3,2,8,5
ITGAE,264,292,210,138
ITGAM,6,2,23,4
ITGAV,3331,2916,6176,3796
ITGB1,7263,7317,8797,5762
ITGB2,57,42,127,48
ARAF,2066,1725,2334,1346
ITGB4,8220,7194,9621,6566
EIF6,3025,2537,2916,1752
ITGB5,5390,4220,7489,4229
ITGB6,88,33,441,205
ITGB7,30,32,56,28
ITGB8,2,0,8,9
ITIH2,13,9,42,11
ACADVL,2846,2815,5592,3599
ITIH4,9,5,18,19
STT3A,4310,4371,3566,2442
ITPA,654,509,874,467
ITPK1,5405,5126,5802,4336
ITPKA,209,140,38,33
ITPKB,471,397,479,325
ITPR1,187,210,270,254
ITPR2,1084,1139,1509,1278
ITPR3,4980,4185,3046,1953
IVD,2745,2306,7588,5115
IVL,7,3,24,22
JAG2,1452,1350,515,345
JAK1,4782,4993,7387,6114
JAK2,434,510,832,628
JAK3,11,11,39,23
ARCN1,9403,8859,12211,7329
JARID2,1639,1626,2298,1599
JUN,899,1410,1793,1701
JUNB,2373,2484,3373,2731
JUND,2309,2116,3297,2127
JUP,8540,8037,15909,10733
TRIM23,373,422,476,393
ANOS1,312,355,188,128
GSTK1,1144,1046,2076,1260
CD82,591,554,928,492
KARS1,9756,9046,9232,5683
USP50,35,46,59,38
KCNA1,3,10,6,3
USP41,78,71,49,27
DND1,139,130,171,92
AREG,762,742,1638,1015
FBXW10B,26,13,55,29
NDUFS7,801,720,872,554
NHLRC2,1152,1049,914,665
GALNT18,388,296,335,158
NCR3LG1,238,149,162,79
FAM111B,1175,1308,59,72
TMEM179B,663,599,1023,634
TBC1D10C,5,3,6,5
DNAJB13,4,3,18,12
LOC374443,383,358,379,286
PTPRQ,5,4,14,13
C12orf42,3,7,4,8
KCNB1,17,15,65,24
ASPG,13,14,46,24
KCNC1,13,17,5,5
TEX9,27,38,67,65
GOLGA6L5P,63,64,102,57
KIF7,89,74,61,34
ZNF710,773,663,1323,675
HDDC3,614,612,810,475
WASH3P,291,276,349,230
EFCAB5,5,9,7,3
KCNC3,259,275,327,233
LRRC37A3,103,97,171,129
ANKRD30B,35,31,21,9
ATP9B,344,334,533,344
HSD11B1L,14,14,25,22
TEX45,10,6,10,11
ZNF699,56,62,94,84
TMEM205,1175,1023,2111,1238
YJEFN3,240,134,256,153
SBSN,12,2,8,3
ZNF829,68,86,64,36
KCNC4,96,96,25,19
ZNF568,16,22,25,24
B3GNT8,18,10,28,13
ZSWIM9,140,145,165,87
ZNF773,83,96,115,81
DRAXIN,5,6,112,30
SPATA21,924,899,1163,641
SVBP,128,150,178,107
TEX38,0,3,7,3
MIGA1,273,285,500,343
ARF1,8639,7901,8361,5240
KCND1,38,38,57,39
PEAR1,4,2,8,3
SFT2D2,800,777,715,526
MIA3,1501,1340,3265,1454
STUM,5,1,106,17
FAM89A,55,64,85,45
PI4KAP2,434,370,421,279
PFN4,13,13,8,10
FAM228B,28,30,456,156
KCND3,82,79,59,45
ANKRD36,222,267,144,144
WASH2P,217,183,262,170
RBM43,257,255,516,293
LINC01116,88,88,126,65
CERKL,7,16,9,6
CATIP,5,3,22,10
C3orf62,45,36,75,48
STIMATE,260,228,234,160
KCNF1,68,46,289,154
C5orf34,650,729,82,106
MAST4,454,418,1308,871
SIMC1,394,376,343,244
KCNG1,344,302,350,203
GUSBP4,28,35,34,24
GJB7,204,224,413,247
TRIM73,2,2,5,4
KCNH1,171,214,162,132
SLC26A5,13,13,19,12
SPATC1,4,4,9,15
WASH5P,80,72,91,62
KCNH2,273,265,128,91
ENHO,41,30,21,17
PTAR1,688,727,836,556
ERCC6L2,687,678,925,644
SWI5,585,549,745,452
C9orf50,6,9,10,7
PNPLA7,326,199,1231,600
AGRN,8379,7452,12132,8815
CYSRT1,73,53,431,199
KCNJ3,45,44,14,22
KCNJ4,17,6,5,8
RAB15,3003,3316,2577,1860
KCNJ8,80,114,97,74
RNF126P1,10,7,6,7
SLC27A1,136,113,304,169
RPS10P7,297,289,430,223
KCNJ11,178,177,325,176
KCNJ12,12,5,14,7
KCNJ13,5,6,3,11
ZC3H6,104,115,198,149
ARF3,10694,10247,14326,8601
KCNJ14,35,27,30,22
KCNK1,729,668,710,431
KCNK2,9,7,8,6
KCNK3,14,17,79,36
KCNMA1,252,223,320,178
ENTPD8,101,66,174,95
KCNMB1,4,5,6,7
ARF4,3215,3059,3989,2672
KCNN1,4,2,17,12
KCNN2,10,12,3,4
TRIM74,367,368,480,321
KCNN4,797,625,1448,733
KCNQ1,9,8,6,4
KCNQ2,39,22,50,20
KCNS1,4,1,7,2
RN7SL2,188,124,729,258
RN7SL3,94,60,357,130
CENPS,229,197,80,52
KCNS2,6,10,26,15
LINC-PINT,24,28,42,23
NHLRC1,99,129,140,65
RNF148,1,9,3,0
MALAT1,1924,1990,5526,3511
ARL4D,30,38,37,30
KCNS3,347,352,104,66
RNF138P1,45,34,26,12
PSMA3-AS1,454,546,982,679
KDR,7,6,4,9
KHK,517,464,180,139
KIF2A,2369,2431,2551,1569
KIF3C,693,702,1300,732
KIF5A,9,6,8,5
KIF5B,7440,7546,6895,4456
ACAT1,1262,1307,1780,1078
KIF5C,288,298,469,347
KIFC3,124,187,324,276
ARF5,2723,2849,2880,2036
ARF6,4151,4050,4510,2858
KLC1,2752,2674,2996,2073
KIF11,3755,3933,421,351
KIFC1,2149,2082,111,118
KIF22,5599,5061,1534,1138
KPNA1,3756,3574,4744,2748
KPNB1,16034,15915,11473,7560
KPNA2,19561,19236,6977,4802
KPNA3,2745,2523,2554,1667
ARG2,644,686,767,460
KPNA4,3186,3046,3189,2105
KPNA5,168,167,174,132
TNPO1,5417,5441,5349,3807
IPO5,5179,4943,4051,2575
KRAS,1419,1317,1478,971
KRT3,2,0,58,32
KRT4,17,19,187,67
KRT7,219,181,497,279
KRT8,171771,162097,258585,188203
KRT10,634,570,1224,632
KRT12,2,1,19,12
KRT13,5,7,44,51
CHKB-CPT1B,310,319,524,355
KRT15,83,54,402,263
ZFP91-CNTF,481,504,537,342
SAP30L-AS1,38,37,65,55
AMIGO3,53,56,83,41
SLC6A10P,46,38,55,41
KRT16,8,10,59,31
RHOA,8905,8665,9690,6002
ZKSCAN4,74,108,139,117
GUSBP2,39,43,50,33
SNHG5,1184,1166,1892,1082
CENPW,407,481,104,85
SOGA3,6,1,3,3
CEP85L,97,130,283,164
KRT17,1,0,12,4
SLC7A5P2,872,524,792,360
C6orf120,1963,1730,2376,1404
KRTAP5-1,34,32,75,53
NSUN4,878,769,991,561
RASL11A,28,29,61,24
KRT18,97850,88955,141276,99233
GPR153,412,428,312,219
PEDS1,1455,1539,2518,1763
PEDS1-UBE2V1,4197,4086,5637,3515
TPTEP1,4,2,3,3
FGF7P6,36,37,46,30
SKIDA1,204,235,259,197
LRRC37A6P,114,99,100,69
WASHC2A,859,868,2149,1254
SH2D4B,4,4,5,5
CC2D2B,27,29,28,17
ENO4,266,270,340,282
C10orf143,27,28,19,14
SPDYC,88,76,157,106
LIPT2,129,98,92,58
RPL13AP20,455,362,780,411
REP15,4,7,3,6
CCDC184,4,5,9,4
C12orf75,1281,1311,1175,808
CFAP73,427,300,392,243
KMT5A,1876,1771,1295,837
C1QTNF9B,11,9,38,10
SHISA2,56,91,48,67
NHLRC3,483,405,643,427
TOMM20L,8,9,16,10
RHOB,7381,9090,9256,9638
KRT19,24055,25588,65967,46206
CCDC9B,30,41,79,95
TNFAIP8L3,63,74,21,21
INSYN1,325,315,330,277
GOLGA2P7,276,268,342,209
UBE2Q2P1,28,34,54,29
SPATA41,31,16,15,21
PRR25,6,4,3,2
KRT32,0,1,14,1
SBK1,249,251,424,243
LOC388242,24,15,22,20
C16orf87,259,284,303,219
C16orf86,4,11,11,10
GLTPD2,41,39,57,39
INCA1,17,18,23,9
SCIMP,7,7,15,7
C17orf100,62,63,94,65
LRRC75A,1165,1084,1752,980
CCDC103,23,24,60,30
YPEL2,156,127,1737,984
LINC02875,156,121,1145,459
POTEC,5,5,7,4
LYPLA2P2,37,44,66,35
ZNF728,5,4,4,3
RPSAP58,5202,4808,6144,3666
RGS9BP,57,53,56,31
ZNF790,20,32,61,40
BLOC1S3,613,573,625,392
ZNF808,434,443,490,350
ZNF888,451,529,678,442
ZNF761,485,512,564,393
TMEM238,504,466,491,350
ZNF749,266,251,344,204
ZNF324B,161,161,138,97
LOC388572,33,26,39,33
RPL23AP87,67,76,159,97
C1QTNF12,16,4,19,11
SMIM1,46,33,38,31
RNF207,203,178,495,250
TRNP1,202,213,195,154
CD164L2,4,4,10,4
LDLRAD1,4,0,99,23
DIPK1A,212,202,249,152
SLC6A17,74,67,79,47
NOTCH2NLA,259,275,355,257
LINC01138,130,154,236,139
LYSMD1,118,124,136,73
KRT81,92,26,192,98
C1orf53,33,30,40,42
TMEM81,42,63,34,46
CAPN8,47,17,493,183
COA6,361,320,401,251
LINC02897,13,4,31,13
LOC388780,4,5,8,1
SMIM26,961,990,1519,859
EFCAB8,16,16,31,19
SNHG17,549,455,342,220
FAM209B,7,7,7,5
MIR99AHG,81,59,161,70
CCDC188,6,5,12,14
LRRC75B,152,126,180,134
KRT83,31,43,108,64
OGFRP1,27,13,17,9
MFSD2B,95,75,94,55
BOLA3,1253,1039,1100,631
C2orf81,240,196,287,199
FUNDC2P2,20,16,39,21
C2orf68,948,948,1433,867
RHOC,3232,2874,9338,4919
PLEKHM3,84,107,217,133
SNORC,9,11,18,16
KRT85,2,0,12,4
INKA1,6,3,5,1
MUSTN1,4,2,4,2
LEKR1,19,17,34,14
LOC389199,8,13,13,5
KRT86,96,85,263,169
SMIM20,291,270,436,267
ING2-DT,10,6,3,3
ANXA2R,232,243,267,161
SMIM32,7,6,23,6
PROB1,135,124,139,141
ARHGEF37,49,44,151,105
PSMG4,380,334,321,184
CLPSL2,7,3,10,11
IYD,8,2,24,13
KTN1,5951,6347,6251,4022
GTF2IRD2B,101,105,262,150
CCZ1P-OR7E38P,104,99,153,117
LAMTOR4,1150,1030,1884,1003
FEZF1,2,1,6,5
TNFRSF10A-DT,208,180,200,134
NUGGC,5,4,4,4
ASNSP1,37,33,27,14
XKR9,6,11,11,13
RBM12B,1008,1015,1156,838
MAFA,169,172,121,86
L1CAM,3293,2743,3075,2362
LOC389705,21,19,18,16
GLIDR,268,253,345,203
LOC389765,41,54,52,40
PTGES2-AS1,8,8,10,6
IER5L,1957,1927,2213,1753
LAD1,3379,2485,3232,1788
AJM1,203,130,279,137
LRRC26,252,157,156,99
LOC389831,61,74,18,17
LOC389834,102,105,149,116
MAP3K15,124,110,100,69
USP27X,189,186,287,141
UBE2NL,102,94,120,73
AFF3,244,287,678,485
LOC389906,150,141,324,196
C1QL3,10,6,8,8
ACAT2,1456,1500,1471,1006
RND3,680,648,1993,829
NKX1-2,5,14,36,15
LAG3,21,10,34,22
LRRC10B,24,40,33,32
OR11H7,11,4,12,8
HERC2P10,22,16,14,11
UBAP1L,40,41,44,43
GDPGP1,98,61,172,92
ADAMTS7P1,3,2,54,40
PABPN1L,71,33,118,52
LOC390877,13,13,7,7
LAMA3,106,100,229,151
NUDT19,967,844,1125,650
ZNF793,146,174,216,143
ACP7,36,36,20,25
ERFL,18,9,18,7
ZNF818P,218,241,417,264
ZNF805,233,223,304,169
RHOG,426,391,473,286
FRRS1,186,148,119,79
LAMA5,9278,8161,10307,8449
LAMB1,1379,1667,1193,1132
ANKRD20A11P,7,13,15,8
LAMB2,2541,2528,4582,3394
PTRHD1,276,248,488,271
LAMB3,89,79,177,158
LAMC1,6013,5719,10676,6624
LAMP1,4587,4083,6542,4023
LAMC2,71,46,301,194
ARHGAP1,6060,5024,6122,3429
LAMP2,4705,4566,5323,3644
RPSA,12182,11418,14675,8698
SMPD5,2,1,8,5
CTSL3P,9,10,12,10
GLOD5,12,11,17,10
STMN1,3770,4213,720,689
NCBP2L,16,7,32,10
ELFN1,34,36,21,18
LASP1,6468,5392,14017,7184
GRID2IP,12,13,23,16
ARHGAP4,157,142,228,121
LBR,1373,1345,547,354
LCAT,28,27,234,148
LCN2,7,1,12,1
LCP1,5019,4327,7852,4318
LDHA,19839,19465,19202,12246
ARHGAP5,2023,1875,2135,1471
LDLR,3186,2682,3740,2383
ARHGAP6,11,14,18,27
LEPR,118,121,162,111
LETM1,3264,2822,3048,1926
LFNG,613,467,750,524
LGALS1,2111,1982,2946,1587
LGALS3,3062,3551,6188,4222
LGALS3BP,837,712,1177,748
ARHGDIA,8078,6928,8704,5239
LGALS4,5,3,3,2
LGALS8,630,605,1052,537
LGALS9,4,4,6,4
ARHGDIB,19,13,100,69
LHB,4,4,2,3
LHX1,218,277,210,257
LIF,73,28,899,419
LIFR,454,525,549,417
LIG1,1810,1721,1395,791
ARHGDIG,331,308,201,145
LIG3,1181,1069,1038,635
LIG4,440,511,796,512
ABLIM1,1913,1432,1928,900
LIMK1,1146,967,998,673
LIMK2,1488,1525,5229,3144
LIMS1,2126,1834,1595,946
LIPA,1015,1019,2361,1466
RHOH,27,10,36,26
LIPE,9,8,17,12
FADS1,1771,1610,3937,2479
LLGL2,9188,8078,11233,7302
SPRED3,33,45,40,46
TMEM200B,48,28,41,23
FADS3,443,351,629,403
SLC25A35,176,133,294,146
LLGL1,777,747,770,578
MEX3D,1272,1149,958,640
FAM102A,8873,7885,19313,11900
SMIM10L2A,32,34,1044,680
ZNF321P,101,108,168,97
HEATR4,25,31,27,19
MYO18A,2121,1682,3082,1711
SHC4,19,16,378,122
LINC02649,3,2,11,8
GATA3-AS1,226,251,292,205
MIR1915HG,365,385,404,376
LINC00999,150,140,131,114
BMS1P1,100,112,122,92
LMAN1,3715,3315,3137,1977
C10orf88B,76,52,31,18
EEF1AKMT2,631,608,621,373
EDRF1-DT,3,7,15,7
LINC01164,2,2,108,51
LINC01168,3,1,4,7
SPRNP1,5,1,6,3
LINC01002,141,122,233,181
LOC399900,15,15,11,8
PCNX3,3522,3279,3669,2489
GSEC,41,35,84,52
LOC399975,130,112,131,64
