Genes,control_1,control_2,Nutlin_1,Nutlin_2
SPDYE2B,57,64,85,99
ANKRD61,18,11,20,13
MIR762,61,51,31,22
MIR2277,3,6,2,7
MIR761,5,5,11,4
SAP25,64,58,67,51
GCSHP3,38,44,50,31
LOC100335030,29,17,15,8
CHAF1A,1375,1472,271,236
ZNF225-AS1,28,40,101,77
BOK-AS1,23,20,22,19
NPPA-AS1,32,23,42,28
MIR181A2HG,4,4,11,4
BACE1-AS,34,27,49,26
GRIK1-AS2,4,4,1,7
PARP2,996,1097,445,360
ZBED6,747,871,1325,1014
PARP3,114,63,150,96
TOM1L1,2073,1930,2812,1742
LOC100419583,304,299,431,261
HMGXB4,930,851,913,611
FAM21EP,33,37,88,54
LOC100422556,6,4,4,5
SMG1P6,322,328,287,233
MIR4292,17,15,13,8
MIR1244-3,336,271,171,136
MIR1244-2,993,843,504,376
MIR3153,5,5,3,3
MIR3189,8,3,61,52
MIR4315-2,7,6,13,7
MIR1184-3,31,28,30,19
MIR1184-2,31,25,30,19
MIR4315-1,5,4,9,5
MIR4321,15,10,11,6
MIR3176,14,10,4,3
TOM1,291,301,662,367
SH2D3A,485,342,755,428
MAMLD1,71,89,38,38
MTRNR2L1,263,278,567,379
MTRNR2L2,2365,2868,6207,3772
MTRNR2L3,1,3,7,4
MTRNR2L6,180,206,498,354
MTRNR2L8,3254,3677,8011,5228
MTRNR2L9,353,426,940,605
MTRNR2L10,257,302,703,475
RANBP9,1741,1710,2421,1423
DNAJB6,3614,3709,4598,2801
THAP9-AS1,466,456,361,233
USP2-AS1,8,6,4,1
LINC00987,157,165,112,67
LINC00674,4433,4729,6065,3889
LINC00673,11,25,25,31
CCDC180,10,8,19,15
SUGT1P4-STRA6LP,12,22,32,21
LINC03027,142,159,174,111
MIR3654,1240,1166,1944,1286
MIR3917,59,74,13,15
MIR3655,89,89,124,63
MIR3650,3,2,4,5
MIR3614,61,58,71,41
MIR3658,42,36,27,17
MIR3652,379,425,380,232
MIR3615,166,151,265,146
MIR3916,15,14,17,11
MIR3605,8,9,6,4
MIR3618,17,10,17,7
MIR3648-1,7,3,3,10
MIR3936,5,4,7,5
MIR3911,13,14,13,9
MIR3940,61,62,65,24
MIR3661,321,317,278,177
MIR3610,13,8,7,5
MIR3651,7,3,1,1
IQCJ-SCHIP1,66,70,47,27
TEX48,3,1,22,3
PRKAG2-AS1,15,19,9,15
GPR176-DT,4,2,2,4
RBM26-AS1,9,12,4,5
ATP8B1-AS1,95,83,157,78
LOC100505555,7,5,8,3
INAFM2,242,251,266,210
LINC00672,5,8,40,11
SNHG21,120,84,68,48
GTF3C2-AS1,244,218,241,134
MALINC1,70,60,44,47
FGD5-AS1,6572,6369,4916,3101
RAD51-AS1,28,27,82,39
DCST1-AS1,55,62,42,33
STARD4-AS1,76,68,74,44
NAPA-AS1,78,62,90,54
LINC01431,5,9,30,11
LINC00888,119,102,126,94
FTO-IT1,7,7,11,7
SH3BP5-AS1,1507,1340,3966,2242
LOC100505715,9,15,32,13
LOC100505716,3,2,2,6
LOC100505728,26,31,24,14
MIR4458HG,46,41,100,43
SPATA1,9,5,14,13
ITGB2-AS1,15,5,21,12
PRMT5-AS1,590,546,455,332
C10orf95-AS1,369,307,333,186
SPDYE18,7,6,12,11
MHENCR,165,136,162,88
OSER1-DT,53,47,46,29
SNHG18,13,15,6,5
CARD8-AS1,21,15,31,9
STK4-DT,26,17,10,8
APTR,236,200,207,126
CFAP58-DT,17,20,30,17
CEBPZOS,1094,1007,1655,992
TMEM161B-DT,36,33,29,20
LOC100505909,19,18,55,34
LOC100505915,18,19,21,16
LINC02036,2,3,26,12
GLCCI1-DT,3,1,9,3
ICA1-AS1,77,56,175,91
LOC100505942,8,8,28,20
ENO1-AS1,4,11,12,10
TMEM210,4,4,6,2
RTCA-AS1,0,5,8,4
