Genes,sc20_a,sc20_b,siA5_a,siA5_b,siP53_a,siP53_b,siA5_siP53_a,siA5_siP53_b
EFS,997,906,1040,1155,1356,1576,1429,1579
EFTUD2,7826,7521,6076,7152,7195,7239,6796,7662
EGF,9,27,41,8,7,15,25,13
EGFL7,1264,907,1098,1367,734,689,723,758
EGFL8,24,29,42,12,10,16,4,7
EGFR,13,14,10,14,33,31,25,34
EGLN1,1814,1787,1531,1763,1800,1662,1792,2061
EGLN2,385,297,617,409,169,137,137,144
EGLN3,115,90,102,76,105,82,51,49
EGOT,21,17,4,5,0,2,0,7
EGR1,177,129,1000,488,773,723,1139,990
EGR2,2,2,11,0,17,19,6,7
EGR3,680,878,678,653,597,672,484,513
EGR4,1,0,0,4,10,4,13,4
EHBP1,1238,1296,879,1358,1011,1092,1077,1004
EHBP1-AS1,16,4,1,1,14,8,1,1
EHBP1L1,3025,2689,2363,1940,1303,1466,1062,1094
EHD1,4942,3967,6141,5852,5465,5611,6106,6243
EHD2,1204,945,740,841,468,485,262,358
EHD3,986,698,823,466,491,694,348,509
EHD4,2779,2465,2197,1785,1923,1671,1751,1939
EHF,3265,3694,610,862,1327,1228,489,609
EHHADH,404,351,186,485,295,235,233,242
EHMT1,5399,4824,5148,4813,4542,4957,4781,5100
EHMT2,6808,6235,5588,4320,4020,4565,3408,3945
EI24,6748,5983,7539,8965,6837,6006,5652,6090
EID1,3357,3009,1492,2172,2574,1829,1289,1522
EID2,1439,1099,1237,1281,1157,860,887,1025
EID2B,66,67,46,88,35,42,25,14
EID3,7,12,40,5,22,2,10,12
EIF1,14675,12666,19145,18743,21235,17321,19872,20893
EIF1AD,1777,1683,1688,1595,2447,2044,2136,2307
EIF1AX,8617,8381,2006,3160,14382,11928,8441,8928
EIF1B,1581,1482,1990,1960,2487,1782,2037,2213
EIF2A,6181,6117,5910,5742,7360,5982,6673,7075
EIF2AK1,13692,12054,12102,12331,11827,11519,11855,13742
EIF2AK2,2245,2196,1487,1699,1581,1619,1183,1395
EIF2AK3,941,971,1126,729,758,866,806,739
EIF2AK3-DT,121,75,65,205,54,27,31,18
EIF2AK4,1674,1758,1401,1790,1580,1920,1663,1783
EIF2B1,3608,3333,2650,2996,4933,4021,4267,4670
EIF2B2,2101,1770,2546,2094,1883,1776,1601,1703
EIF2B3,956,855,566,873,673,631,562,634
EIF2B4,1827,1441,1567,1370,1915,1615,1521,1613
EIF2B5,5182,4468,3980,3531,4715,4624,3965,4763
EIF2D,3839,3369,2595,2993,4303,3854,3520,4061
EIF2S1,8957,8611,7663,9557,9582,8655,9113,9670
EIF2S2,6407,5364,5521,5850,4639,4037,3438,3680
EIF2S3,9561,8983,6519,6879,13146,11702,11169,12392
EIF2S3B,23,14,19,10,28,23,18,39
EIF3A,15998,15872,16536,13132,12930,14497,15094,16739
