Genes,sc20_a,sc20_b,siA5_a,siA5_b,siP53_a,siP53_b,siA5_siP53_a,siA5_siP53_b
NMNAT1,393,359,344,340,287,247,167,152
NMNAT2,31,23,13,50,16,13,13,9
NMNAT3,38,27,9,35,11,23,17,13
NMRAL1,4271,3696,2511,3686,4089,4033,2982,3388
NMRAL2P,0,0,7,0,0,3,2,10
NMRK1,838,816,926,1074,1021,951,907,920
NMT1,6805,6344,5200,5147,5572,5538,5080,5420
NMT2,642,647,746,685,796,796,770,770
NMU,308,232,25,164,480,399,244,253
NNAT,13,17,12,28,4,10,12,15
NNT,2356,2233,2494,2811,916,912,710,943
NOA1,4157,3614,4223,3924,3734,3259,3243,3440
NOB1,3332,2797,3504,2184,3143,2907,2929,3453
NOC2L,8070,7677,6018,6939,7436,7789,7547,8174
NOC2LP1,1360,1331,1435,1294,859,901,731,931
NOC3L,1257,1490,911,1115,1359,1169,1331,1468
NOC4L,1616,1295,1101,1196,1763,1693,1439,1610
NOCT,234,249,361,346,211,265,254,264
NOD1,482,456,211,187,238,206,143,222
NOD2,4,7,0,5,9,6,0,14
NODAL,4,1,4,4,2,4,1,7
NOL10,1779,1611,1225,1328,1950,1830,1664,2008
NOL11,5179,4967,3063,5142,6371,5945,5438,5977
NOL3,2203,1613,1046,1387,2468,1906,1610,1725
NOL4L,381,352,563,619,185,274,347,326
NOL6,3106,3270,2658,2502,2534,2775,2617,2851
NOL7,170,162,168,147,230,178,204,213
NOL8,2383,2421,1676,1714,2486,2555,2065,2517
NOL9,681,590,715,735,881,834,961,1016
NOLC1,11008,11410,6907,7466,11987,12555,11985,12933
NOM1,1792,1966,1985,1737,1753,1774,2106,2411
NOMO1,6311,6173,8466,6684,5005,5157,6085,6180
NOMO2,3485,3470,4624,3427,1960,2930,3198,3496
NOMO3,1083,986,1523,1164,557,887,1002,1089
NONO,12781,11460,9152,9920,10762,9750,8561,9191
NOP10,2859,2296,2299,2271,3991,2993,2950,3226
NOP14,2529,2476,2102,1793,2344,2485,2418,2454
NOP16,2625,2001,1880,1693,3035,2483,2553,2737
NOP2,3212,2755,3208,2489,2867,2897,3225,3653
NOP53,20769,16997,19065,14560,20364,17873,16286,17698
NOP53-AS1,25,12,13,17,18,6,11,4
NOP56,5356,4897,2705,3681,7292,6954,6645,7465
NOP58,4434,4614,2403,2736,5811,5479,4850,5690
NOP9,2321,2164,1902,1959,1454,1977,2633,3018
NOPCHAP1,778,715,650,845,1070,734,802,803
NORAD,10976,12343,10449,13394,8796,9380,8445,9132
NOS1AP,291,336,243,253,93,170,183,159
NOS3,10,4,7,1,0,0,3,5
NOSIP,2897,2410,2713,2647,2896,2380,2539,2441
NOSTRIN,35,27,17,16,15,32,19,23
NOTCH1,3047,3393,12255,6228,1758,2298,2463,2830
NOTCH2,7002,7592,6631,7924,6734,9233,9638,10702
NOTCH3,8424,8758,12431,11141,5140,6546,6036,6692
NOTCH4,15,28,15,20,1,3,5,8
NOTUM,1593,1155,945,778,978,788,879,883
NOVA1,63,60,40,56,34,31,43,17
NOVA1-DT,14,8,9,10,16,20,5,5
NOX1,13,1,3,7,15,28,15,22
NOX5,45,22,38,32,5,1,4,11
NOXA1,1147,1266,1047,693,577,454,432,482
NOXO1,2,8,8,6,8,6,6,14
NOXRED1,26,32,27,21,31,33,11,16
NPAS1,285,288,346,167,76,99,64,63
NPAS2,24,14,47,34,58,74,85,108
NPAS3,88,56,100,129,109,151,76,113
NPAT,654,684,405,486,563,565,545,585
NPC1,2492,2289,6220,2807,1365,1515,1825,1890
NPC1L1,5,7,6,18,6,1,26,16
NPC2,3280,2661,5598,2049,1213,893,734,836
NPDC1,8156,6677,4264,5165,8257,7349,5738,6806
NPEPL1,1377,1224,1056,1375,966,993,860,1007
NPEPPS,8769,9252,5324,7326,5095,4332,3778,4288
NPFFR2,8,1,17,12,18,12,11,24
NPHP1,102,64,23,63,52,25,8,20
NPHP3,448,560,346,507,443,532,337,375
NPHP4,1264,965,804,802,685,704,570,603
NPIPA1,343,288,278,239,226,190,230,198
NPIPA2,343,288,278,239,226,190,230,198
NPIPA3,1,5,6,4,6,4,2,3
NPIPA5,2,4,11,4,1,2,3,1
NPIPB11,50,36,65,31,31,43,54,83
NPIPB12,46,16,64,29,14,53,25,49
NPIPB15,111,95,75,83,77,64,42,69
NPIPB2,23,1,2,18,3,12,7,6
NPIPB3,103,82,113,136,79,106,78,95
NPIPB4,136,122,238,121,115,130,144,166
NPIPB5,262,337,372,260,279,274,280,177
NPIPB6,21,9,9,7,29,15,11,18
NPIPB9,19,6,1,6,15,17,10,22
NPIPP1,55,74,33,23,26,29,31,22
NPL,316,358,321,341,298,187,179,242
NPLOC4,7750,6926,10114,7914,5189,5362,6035,6577
NPM1,56192,52596,40103,51563,73170,56326,51848,57682
NPM1P39,68,13,31,35,30,46,27,51
NPM3,3670,3282,2892,3008,3789,3095,3556,3786
NPNT,3910,3275,3014,2535,3294,3533,2935,2812
NPPC,34,16,11,1,44,10,15,15
NPR3,70,62,26,106,119,227,98,76
NPRL2,847,719,707,680,713,492,541,621
NPRL3,3051,3076,3441,3392,1835,1650,1729,1783
NPTN,5691,5474,3904,2825,6581,5522,4614,5146
NPTX1,136,117,26,86,33,60,89,121
NPTXR,1234,1207,712,1558,717,946,952,1127
NPW,63,55,43,24,29,12,6,19
NPY1R,2717,2796,5000,1140,2216,1598,1215,1495
NPY5R,100,120,286,89,63,47,39,32
NQO1,38319,31720,48168,26335,34573,25879,42151,41112
NQO2,1289,1030,1233,817,985,979,1062,1181
NR1D1,219,209,477,244,115,173,160,214
NR1D2,2998,3381,2770,2713,2293,1927,1573,1735
NR1H2,4379,3798,4314,3557,4570,4326,3922,4621
NR1H3,906,759,450,406,657,581,361,400
NR1I3,60,53,71,55,55,38,42,74
NR2C1,1067,1006,781,886,990,814,796,767
NR2C2,651,845,633,463,365,525,565,584
NR2C2AP,2395,2070,1181,1518,2259,2092,1787,1737
NR2F1,23,14,11,50,17,48,7,28
NR2F1-AS1,6,6,0,11,2,1,2,8
NR2F2,5077,4609,2427,2581,5093,3383,2468,2795
NR2F2-AS1,9,42,22,16,17,21,16,4
NR2F6,6436,4955,6116,5725,7473,6675,6543,7272
NR3C1,8012,9065,7176,9797,4101,4330,3608,4072
NR3C2,49,60,28,103,34,34,34,49
NR4A1,635,475,1472,454,603,731,392,595
NR4A2,309,303,405,433,158,192,179,185
NR4A3,37,38,88,33,4,15,8,9
NR5A2,104,140,40,169,276,340,286,339
NR6A1,228,180,375,170,102,127,124,131
NRAD1,6,0,4,0,7,5,1,5
NRARP,4144,3429,1519,1884,4824,4478,3489,4065
NRAS,18071,17192,23013,31784,25497,23091,26830,27690
NRAV,606,604,402,675,701,530,418,491
NRBF2,980,795,1145,1197,611,554,505,488
NRBP1,12412,10500,14368,13593,11429,11231,11364,12254
NRBP2,986,931,491,828,697,870,766,734
NRCAM,3459,4025,8842,5071,3840,5420,4738,5332
NRDC,5521,5340,6394,6079,5238,5442,5969,6569
NRDE2,1204,1235,729,880,932,962,994,926
NREP,573,489,496,853,857,673,701,749
NRF1,1089,996,839,807,861,929,794,829
NRG2,12,8,4,0,6,1,1,1
NRG3,461,418,506,493,360,401,395,385
NRG4,11,11,6,10,8,6,8,21
NRGN,454,328,81,176,423,365,289,353
NRIP1,2134,2736,1925,1818,1691,2013,1578,1760
NRIP2,30,32,4,31,33,30,14,19
NRK,8,14,1,13,14,0,3,5
NRL,144,102,85,123,57,80,78,121
NRM,1142,1033,494,769,1179,884,657,720
NRN1,25,18,5,1,43,18,7,18
NRP1,2812,2920,7922,3343,2442,2320,3736,3807
NRP2,12,2,2,6,4,7,15,1
NRROS,8,10,13,18,0,0,4,2
NRSN2,1599,1226,950,837,792,732,501,471
NRSN2-AS1,219,153,172,179,247,216,185,256
NRTN,107,68,54,46,132,77,85,58
NRXN2,4,2,1,9,3,1,0,0
NRXN3,772,848,223,204,97,75,45,78
NSA2,4076,3739,3927,4685,5324,4024,3872,4539
NSD1,9664,12048,8812,8399,6250,8121,6967,7745
NSD2,15788,16119,10880,10170,11177,12359,11476,12495
NSD3,3694,3673,4149,3173,2985,3184,2899,3465
NSDHL,2537,1870,2020,1499,1973,2074,1487,1816
NSF,2909,2901,2239,3391,2381,1940,1773,2072
NSFL1C,2651,2076,2010,2331,2268,2002,1933,1946
NSL1,943,853,229,240,970,894,456,463
NSMAF,1401,1311,1348,1362,931,956,982,1057
NSMCE1,2040,1604,1065,2228,2063,1591,1437,1649
NSMCE1-DT,30,56,26,27,42,34,15,36
NSMCE2,2558,2202,1675,1538,2149,1581,1217,1460
NSMCE3,1061,804,689,941,907,774,685,734
NSMCE4A,2270,2127,1184,1758,1657,1515,1188,1386
NSMF,5179,4854,5569,4194,3314,3540,3452,3570
NSRP1,753,866,680,845,958,884,697,773
NSUN2,6714,6120,6777,6514,6316,6187,6338,7067
NSUN3,432,551,399,584,422,333,322,369
NSUN4,1624,1454,1608,1287,1290,1124,1088,1200
NSUN5,4432,3475,3328,3465,4400,3962,4078,4244
NSUN5P1,1599,1431,1082,945,1266,1147,1351,1528
NSUN5P2,29,53,49,28,39,31,54,38
NSUN6,239,222,132,209,202,140,141,146
NSUN7,416,405,352,405,340,291,264,338
NT5C,3350,2523,1938,2592,2505,2125,1698,1940
NT5C2,464,502,1092,934,398,429,873,900
NT5C3A,1687,1624,751,893,1596,1468,1133,1343
NT5C3B,3082,2249,2743,2190,2599,2315,2256,2511
NT5DC1,1381,1330,769,1246,1448,1196,1166,1260
NT5DC2,9458,7536,8368,8483,8427,7604,7754,8192
NT5DC3,334,507,270,372,319,327,292,319
NT5E,40,20,14,15,51,22,78,61
NT5M,174,153,42,121,131,110,77,85
NTAN1,1435,1119,2205,1898,1441,1182,1510,1518
NTAN1P2,2,11,13,6,10,7,3,1
NTAQ1,1219,1129,1044,1278,500,492,413,460
NTF4,51,32,25,50,20,36,15,11
NTHL1,2146,1754,1169,1199,1864,1490,1063,1260
NTMT1,3890,2921,2939,2385,4377,3824,3491,3691
NTN1,1216,1147,858,926,1208,1674,992,1098
NTN3,42,67,33,11,9,18,11,17
NTN4,30,63,140,99,54,33,101,73
NTN5,10,23,3,2,0,5,1,0
NTNG2,12,17,1,7,29,21,15,18
NTPCR,1409,1197,1530,1677,1375,1047,980,1019
NTSR1,55,88,48,57,14,11,17,8
NUAK1,588,629,1012,1358,405,498,634,693
NUAK2,89,136,57,98,421,359,406,342
NUB1,1377,1332,992,1263,1593,1350,1269,1561
NUBP1,705,588,610,648,702,566,634,715
NUBP2,7323,5630,5205,5024,7719,6707,5841,6462
NUBPL,952,1027,345,602,1111,1028,589,708
NUCB1,6994,5818,5353,5569,4551,4105,3644,3969
NUCB2,1645,1582,1176,1424,1496,1448,971,1016
NUCKS1,36977,38544,24267,34991,39838,43415,38959,41439
NUDC,5564,4456,3929,4012,5420,4811,4786,4915
NUDCD1,3137,3195,2300,2995,3233,2969,2739,3004
NUDCD2,2709,2063,2041,1962,2604,2048,1861,2115
NUDCD3,4710,4318,3157,3448,3788,3677,3180,3335
NUDT1,2898,2350,1693,2067,2707,2121,1971,2051
NUDT11,23,44,1,16,60,59,11,19
NUDT12,1088,1023,776,1505,1446,1209,1047,1243
NUDT13,262,244,221,255,276,207,156,209
NUDT14,868,881,793,1072,539,469,698,625
NUDT15,1030,953,646,956,1483,1103,1008,1239
NUDT16,2425,2062,1456,2127,2026,1898,1633,1583
NUDT16L1,3521,2633,2858,3087,3099,2857,2920,2991
NUDT17,301,253,186,249,143,89,89,85
NUDT19,1918,1935,1566,1980,1968,1863,2055,2036
NUDT2,1114,917,733,1102,1297,972,707,782
NUDT21,5242,4877,3851,5867,6327,6148,7293,7718
NUDT22,1829,1351,1485,1573,1372,1142,1021,1034
NUDT3,2114,1996,1348,1646,1953,2006,1794,2042
NUDT4,5815,5030,4637,5356,5644,5276,5155,5102
NUDT4B,13,11,17,6,8,15,12,27
NUDT5,2540,2484,1907,2640,3133,2521,2773,2926
NUDT6,316,313,100,231,237,208,170,200
NUDT7,41,30,16,83,47,21,30,32
NUDT8,908,669,347,648,894,706,843,973
NUDT9,1332,1284,1399,1383,1486,1223,1393,1764
NUF2,1503,1490,605,1002,1673,1248,1105,1304
NUFIP1,625,655,399,514,876,749,704,762
NUFIP2,3754,3961,3598,3124,3984,4128,3906,4059
NUMA1,13286,13476,9406,9838,7551,8942,7600,8583
NUMB,4237,4111,4982,5395,3516,3752,3921,4151
NUMBL,1405,1156,1107,905,854,1038,743,718
NUP107,4333,4489,2456,3666,4720,4163,4027,4407
NUP133,2229,2362,1400,1964,2107,2195,1871,2019
NUP153,4909,4950,6044,4230,4812,5044,5722,5989
NUP153-AS1,579,541,798,375,332,553,622,656
NUP155,3427,3528,1409,2128,3741,3921,3370,3516
NUP160,5735,6020,4572,4994,6322,6389,7566,8345
NUP188,6372,6376,4061,4272,5301,5394,6033,6690
NUP205,7852,7712,4945,5106,6459,7184,6377,7517
NUP210,18590,20095,12394,12832,11271,14266,15474,16607
NUP210L,764,690,831,904,946,782,735,828
NUP214,2435,2670,1727,1879,1687,2161,1871,2055
NUP35,1306,1143,603,727,1267,1190,972,1058
NUP37,1802,1711,1092,1889,2308,1890,1755,1908
NUP42,331,323,411,349,230,247,308,329
NUP43,1644,1583,988,1081,2246,1924,1892,1990
NUP50,4977,5494,4438,5201,5475,5504,5780,6361
NUP50-DT,644,539,559,419,359,305,276,311
NUP54,1792,1836,1138,1459,2411,2073,2146,2423
NUP58,2430,2385,2897,2271,3245,3776,5183,5279
NUP62,5041,4595,3292,3741,5365,5430,4377,4725
NUP62CL,205,240,26,37,304,223,94,45
NUP85,3906,3464,2311,2389,3623,3438,3028,3309
NUP88,2313,2111,1149,1499,2714,2503,2184,2354
NUP93,2751,2536,1796,2012,2438,2519,2172,2408
NUP98,4133,4319,4600,3727,3437,3974,4301,4837
NUPR1,202,215,348,81,478,389,202,166
NUS1,3080,2850,2935,3427,3494,3306,3502,3887
NUSAP1,3596,3457,1202,2428,4845,4327,3642,4380
NUTF2,7440,5880,6793,6645,8885,7288,7747,8657
NUTM2A,26,17,2,26,20,24,3,9
NUTM2A-AS1,799,784,914,822,1081,907,1047,1047
NUTM2B,22,26,42,30,29,10,13,8
NUTM2B-AS1,174,166,267,198,204,182,210,238
NUTM2D,82,48,42,71,44,39,32,27
NUTM2G,7,17,78,27,9,27,33,40
NVL,2792,2389,1109,1396,1203,1158,945,983
NXF1,2963,2369,3190,2212,2310,2144,1953,2522
NXN,91,80,54,142,32,42,28,43
NXNL2,41,27,293,82,55,79,55,75
NXPE3,1111,1176,2139,1605,625,540,758,746
NXPH3,1648,1383,517,573,882,1207,409,509
NXPH4,1267,944,534,657,1633,1507,1520,1465
NXT1,2154,1825,1374,1320,2189,1977,1687,2050
NXT2,878,707,596,1172,1419,1188,1104,1369
NYAP1,77,77,106,26,32,27,23,15
NYNRIN,206,210,482,192,78,112,46,48
OAF,769,567,435,220,270,262,186,246
OARD1,1359,1265,1059,1198,1836,1518,1651,1919
OAS1,8,6,2,1,18,5,9,3
OAS3,896,950,192,308,423,538,211,280
OASL,31,28,6,30,23,19,17,0
OAT,4458,3685,1941,2106,2788,2208,1903,2199
OAZ1,19854,15125,17933,19373,25538,19448,21165,22596
OAZ2,3161,2542,2584,3009,3181,2768,2273,2518
OAZ3,57,35,19,60,52,33,41,25
OBI1,350,335,266,262,329,229,243,272
OBSCN,1444,2050,1030,577,514,656,284,372
OBSCN-AS1,67,70,64,50,51,62,41,59
OBSL1,18327,14175,9351,6465,4822,4075,2590,2734
OCEL1,500,436,315,356,390,314,259,238
OCIAD1,3078,2643,2455,2822,4115,3274,3056,3469
OCIAD2,1359,1061,1505,1134,906,767,702,849
OCLN,2420,2163,2855,2182,2637,2569,3629,3758
OCRL,2672,2899,3500,3702,2576,2782,3332,3517
ODAD1,44,48,26,43,3,5,2,18
ODAD3,95,61,20,56,27,5,2,12
ODAD4,78,76,40,48,14,15,1,11
ODC1,8836,8464,5237,15286,15549,13892,17761,18746
ODF2,2701,2641,1504,2048,2316,2388,1923,2189
ODF2L,208,201,158,382,185,218,148,153
ODF3B,208,200,153,130,85,90,70,116
ODF3L2,2,5,8,10,1,4,2,32
ODR4,1688,1668,1744,1809,1667,1492,1710,1957
OFD1,943,1049,930,1165,923,831,1031,1061
OGA,4703,4863,2277,4258,5030,5686,5451,5417
OGDH,8864,8973,9323,8483,5590,6200,4921,5607
OGDHL,158,97,17,88,48,58,10,35
OGFOD1,1485,1420,949,1398,1573,1348,1211,1587
OGFOD2,78,61,61,75,46,68,58,58
OGFOD3,1999,1870,1197,1540,2474,2200,2092,2322
OGFR,3682,2882,3136,2287,2493,2527,2231,2413
OGFR-AS1,14,23,3,17,11,4,5,9
OGFRL1,875,798,1019,1231,1304,1259,1223,1490
OGG1,1894,1583,1152,1321,1578,1357,982,1278
OGT,4423,4391,2783,1612,3257,3355,2927,3209
OIP5,478,490,291,353,655,595,632,698
OIP5-AS1,2594,2397,1745,2040,2135,2046,1735,2008
OLA1,4960,4805,3188,4450,5066,4345,3397,4063
OLFM1,2301,1977,1152,1787,1554,1371,1071,1218
OLFM2,340,212,338,335,221,223,191,210
OLFML2A,12,2,10,2,17,43,11,27
OLFML3,3,9,32,12,10,20,14,7
OLIG2,4,25,20,31,30,19,26,13
OLMALINC,1710,1444,1806,1073,1627,1242,1296,1345
OMA1,704,795,623,802,918,624,640,703
ONECUT1,33,46,14,53,47,78,50,37
ONECUT2,126,199,114,170,106,160,158,137
OOEP,8,13,24,6,16,9,5,8
OPA1,7001,7619,4905,7844,7742,7130,6954,7297
OPA3,1633,1485,1475,1676,1573,1717,1372,1641
OPHN1,791,1018,2167,1293,358,388,358,380
OPLAH,429,318,239,389,180,177,220,207
OPN1SW,25,19,10,11,25,27,12,19
OPN3,1606,1923,1038,860,1601,1535,1047,1037
OPRL1,108,94,80,48,19,35,12,24
OPTN,353,203,589,183,205,247,238,162
OR1F1,20,21,26,16,15,12,15,27
OR1J1,0,13,0,0,8,1,6,0
OR2B6,11,3,4,0,40,23,23,25
OR2W6P,2,1,5,0,3,4,5,1
OR4L1,10,15,5,9,2,5,4,11
OR6E1P,9,5,1,4,13,2,2,1
OR6L2P,1,1,1,4,0,0,12,1
OR7E102P,2,6,0,4,5,4,1,0
OR7E128P,11,1,5,0,2,1,3,3
OR7E14P,114,141,178,115,192,130,99,91
OR7E38P,481,339,365,431,434,334,320,347
OR7E47P,3,4,2,6,12,19,8,21
OR8A1,11,10,8,3,2,8,1,2
OR8D1,3,1,6,0,3,12,0,2
OR8G3P,5,7,7,9,5,6,18,29
OR8G5,28,19,3,2,34,21,22,8
OR8Q1P,2,2,2,3,12,5,4,6
ORAI2,2003,1843,3566,2286,695,718,647,524
ORAI3,480,406,519,891,306,275,220,298
ORC1,1140,968,316,469,918,871,740,729
ORC2,1797,1766,1389,1551,2055,1641,1537,1719
ORC3,1030,1195,537,927,1291,1032,883,1123
ORC4,1349,1206,1263,1475,1369,1170,1091,1255
ORC5,2549,2329,1218,1796,2758,2530,1992,2119
ORC6,1198,1057,597,607,1248,1252,1042,1299
ORMDL1,2060,1898,2519,2405,2493,1884,2224,2363
ORMDL2,1224,1010,1066,1152,1190,1108,906,932
ORMDL3,2252,2067,2083,1794,2251,1963,2437,2263
OS9,9518,8742,8972,9452,6521,6436,5609,6408
OSBP,2848,2538,3084,3009,2268,2522,2552,2674
OSBP2,622,531,386,371,288,329,216,208
OSBPL10,2300,2145,1885,2166,3484,3091,3137,3393
OSBPL11,1311,1285,2064,1767,1245,1287,1298,1448
OSBPL1A,1355,1372,1564,1297,1275,1468,1488,1396
OSBPL2,2257,1847,2584,2022,1382,1243,1078,1070
OSBPL5,737,659,261,502,502,594,403,412
OSBPL6,403,386,157,313,377,441,349,347
OSBPL7,762,706,500,495,303,310,186,224
OSBPL8,3329,3713,2883,3547,3416,3680,3560,3553
OSBPL9,5497,4605,3832,5428,7118,7153,6816,7297
OSCAR,1,8,8,5,1,6,6,2
OSCP1,169,122,88,201,84,73,26,47
OSER1,2866,2467,4022,2170,3103,2279,2863,2855
OSER1-DT,659,494,783,471,438,363,358,384
OSGEP,1271,1066,521,900,1055,892,628,754
OSGEPL1,487,431,224,293,435,414,318,390
OSGIN1,1417,1131,6423,1536,2109,2198,3327,3168
OSGIN2,4145,3748,3252,2751,4236,3746,3153,3618
OSMR,2198,2203,1645,1243,1420,1500,1242,1398
OSR2,1127,1247,946,712,580,590,525,536
OST4,4418,3681,3673,3815,4644,3538,3447,3995
OSTC,4018,3743,3235,5016,3479,2434,2349,2554
OSTF1,2238,1726,2558,2804,2981,2391,2637,2758
OSTM1,1197,1306,618,490,1561,1468,670,778
OTOGL,70,58,33,49,20,53,16,27
OTP,10,7,0,6,8,19,6,8
OTUB1,5506,4127,4898,6022,4876,4548,4607,5081
OTUB2,236,203,176,282,160,167,73,106
OTUD1,604,452,619,305,595,569,423,439
OTUD3,333,493,862,744,363,410,577,608
OTUD4,3029,3395,1969,1529,3079,3311,2887,2921
OTUD5,2237,1916,1770,1400,1729,1651,1487,1516
OTUD6B,1350,1282,834,1468,2412,2193,2279,2432
OTUD6B-AS1,1465,1332,567,927,1680,1416,1057,1190
OTUD7A,7,18,38,47,6,5,0,8
OTULIN,1688,1863,2030,2307,1336,1488,1551,1733
OTULIN-DT,19,12,5,29,6,12,3,23
OTULINL,24,37,19,122,162,212,239,195
OTX1,208,129,77,152,185,225,157,183
OVCH1,1,2,5,7,4,13,12,7
OVGP1,43,22,119,27,68,91,68,96
OVOL1,997,901,1696,828,776,920,1051,1137
OVOL1-AS1,8,8,15,3,10,14,2,5
OVOL2,388,365,227,330,492,416,366,395
OVOL3,2,11,5,0,13,11,6,7
OVOS2,9,5,7,1,14,2,1,10
OXA1L,10944,9775,9553,9180,12180,11106,9640,10087
OXCT1,4186,4387,1243,3497,4042,3625,2748,2984
OXCT2,1,6,10,1,0,1,4,4
OXER1,24,17,3,11,23,11,0,11
OXLD1,2156,1898,1608,1924,2470,2121,1870,1938
OXNAD1,956,941,659,924,945,748,856,903
OXR1,2986,3156,2521,2914,3473,3382,2991,3109
OXR1-AS1,2,12,4,20,13,17,13,17
OXSM,875,749,528,769,927,729,722,810
OXSR1,3868,4017,3902,3829,2591,2603,2158,2501
OXTR,65,73,25,36,48,25,42,28
P2RX2,54,34,68,224,21,33,56,48
P2RX4,6571,6846,6717,5671,2156,1834,2128,2204
P2RX5,147,124,158,125,120,144,106,142
P2RX5-TAX1BP3,28,77,84,109,46,23,47,63
P2RX7,9,10,9,1,0,2,1,1
P2RY1,1,3,6,1,22,11,12,10
P2RY11,274,176,256,104,155,158,162,184
P2RY2,2204,2190,1980,983,783,883,727,776
P2RY6,3199,2655,2566,1796,2735,2712,2957,2926
P3H1,664,497,844,391,319,286,193,199
P3H2,5,5,35,28,0,2,13,17
P3H3,24,36,3,12,1,18,2,12
P3H4,4223,3638,2863,2290,2764,2771,1940,2146
P4HA1,2838,2473,2446,1540,3237,2570,2642,3126
P4HA2,1108,1090,887,1582,1149,944,996,1210
P4HB,26691,22962,24767,27030,27458,28964,29810,30994
P4HTM,3055,2631,2257,2206,1600,1399,1018,1289
PA2G4,8265,7174,4935,6090,8526,6930,6641,7368
PAAF1,1604,1613,664,925,1635,1424,944,1121
PABIR1,694,687,834,708,472,504,381,489
PABIR2,5982,5820,1296,1842,4808,4528,2885,3005
PABIR3,257,233,171,209,125,104,64,65
PABPC1,83400,78213,100237,107979,88739,77026,98740,104721
PABPC1L,739,893,658,546,298,343,323,293
PABPC1L2A,4,2,0,1,10,1,1,4
PABPC1L2B,5,23,1,1,10,1,2,5
PABPC3,51,33,57,62,55,50,73,55
PABPC4,4225,4028,5090,5905,8537,8063,11835,12778
PABPC4L,1,6,3,9,0,0,15,6
PABPN1,5854,4725,4672,4643,5769,4786,4968,5853
PABPN1L,33,53,62,36,26,30,89,111
PACC1,390,360,560,490,320,334,274,430
PACRG,8,6,0,1,6,2,4,1
PACRGL,483,418,341,470,439,298,345,389
PACS1,5663,5741,5923,5035,4382,4799,5032,5177
PACS2,6902,6424,9256,6322,4536,4617,4820,5419
PACSIN1,1028,888,416,642,468,396,212,321
PACSIN2,5113,4386,4349,4094,4578,4453,4577,4940
PACSIN3,7275,5593,6273,4516,4550,4025,3580,3863
PADI1,10,5,126,16,13,14,33,48
PADI2,1068,1267,684,702,1344,1155,1586,1780
PADI3,165,228,187,47,125,58,46,39
PAF1,4807,3997,4318,3980,4279,4028,3508,4167
PAFAH1B1,3779,3275,3066,3861,3934,4065,4369,4987
PAFAH1B2,2848,2434,1299,1547,4095,3678,2711,2863
PAFAH1B3,1897,1274,1306,1675,1800,1508,1377,1483
PAFAH2,1382,1253,1008,1044,1233,1216,1010,1056
PAG1,3,22,4,27,42,47,116,55
PAICS,15156,14892,8104,11209,15733,13300,12359,13525
PAIP1,7246,6579,7293,6783,7991,7044,7019,7679
PAIP1P1,15,3,2,3,1,8,1,3
PAIP2,3778,3047,3726,3283,3420,3054,2992,3433
PAIP2B,856,881,483,1093,420,364,289,347
PAK1,28,12,25,36,27,42,15,11
PAK1IP1,1590,1477,1342,1212,2098,1790,1733,1674
PAK2,13664,15064,23158,21349,11299,11684,14109,15545
PAK4,11138,9017,12707,10706,7226,7136,7536,8418
PAK6,184,160,100,134,194,144,180,158
PAK6-AS1,11,34,2,15,4,0,1,4
PALB2,1246,1249,1209,1093,1010,1070,952,1113
PALD1,16,10,5,16,5,5,0,8
PALLD,6402,6373,7215,3458,7408,6979,7268,7443
PALM,3087,2391,2004,1799,1244,1055,828,928
PALM3,576,449,1131,170,269,381,322,301
PALMD,1,1,0,0,17,15,27,29
PALS1,3768,3778,4309,4962,3518,3523,3832,4430
PALS2,583,559,576,480,830,787,766,829
PAM,1555,1544,2101,3096,1865,1836,2490,2522
PAM16,131,110,102,95,74,75,61,81
PAN2,2305,2449,1447,2231,946,877,737,932
PAN3,2422,2264,1732,1845,2025,2088,1765,1769
PANK1,800,783,744,857,830,791,836,828
PANK2,1202,1049,1193,1027,1003,1017,815,977
PANK3,9861,10875,12527,7355,8648,8835,8436,9140
PANK4,991,839,841,844,785,787,783,740
PANX1,602,545,376,352,596,713,454,536
PANX2,1161,1057,1830,1015,1070,1286,1548,1422
PANX3,4,7,16,3,9,3,0,5
PAOX,141,106,44,50,45,47,25,38
PAPLN,121,149,102,120,66,95,57,90
PAPOLA,16726,17077,13322,13369,13742,13157,11408,12483
PAPOLG,797,752,601,820,822,693,664,727
PAPSS1,2703,2427,2162,2832,2429,2134,1832,2020
PAPSS2,267,210,1493,258,113,127,137,139
PAQR3,716,842,284,662,654,556,419,450
PAQR4,3158,2615,963,1830,2105,2516,1348,1426
PAQR5,226,183,91,148,140,152,150,172
PAQR6,761,795,423,332,204,148,51,112
PAQR7,92,85,52,170,96,64,70,111
PAQR8,188,129,16,103,68,52,35,28
PARD3,2174,1989,2708,2548,2584,2803,3020,3250
PARD3B,236,284,202,168,138,129,119,139
PARD6A,506,366,478,449,197,241,157,235
PARD6B,7721,7740,9999,8581,11063,8214,10897,11268
PARD6G,207,173,165,137,145,158,114,153
PARD6G-AS1,10,14,29,38,8,7,18,23
PARG,1003,923,930,1203,1034,947,930,1004
PARK7,7189,6238,5930,7401,8043,6474,6702,7419
PARK7P1,2,2,5,4,0,4,2,5
PARL,3228,2916,3069,3271,3734,3372,3281,3481
PARM1,51,26,21,47,28,53,53,21
PARN,2650,2418,1648,2465,1945,1737,1668,1940
PARP1,9067,8428,4433,5992,7624,7629,6265,6806
PARP10,1062,666,283,264,381,335,194,175
PARP11,138,140,60,115,199,148,57,73
PARP12,425,422,158,126,269,242,130,146
