"","SYMBOL","GSM4143534","GSM4143535","GSM4143536","GSM4143537","GSM4143538","GSM4143539","GSM4143540","GSM4143541","GSM4143542","GSM4143543","GSM4143544","GSM4143545","GSM4143546","GSM4143547","GSM4143548","GSM4143549"
"229","SLCO4A1-AS1",13,67,12,68,23,85,22,101,38,106,17,217,22,150,13,111
"230","HECW1-IT1",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"231","LOC100127955",0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,2
"232","KRT73-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"233","C8orf88",1,0,0,1,1,1,0,2,0,0,0,1,0,1,0,1
"234","LOC100128002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235","ARHGAP44-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236","DPPA2P3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"237","WWTR1-AS1",0,3,1,0,0,0,0,0,0,0,1,1,0,2,0,1
"238","PLCE1-AS1",0,2,0,4,1,2,1,2,0,0,1,2,0,3,1,2
"239","SMARCA5-AS1",32,155,35,156,37,176,47,189,29,120,46,190,20,132,37,163
"240","LOC100128059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","FAM229A",1,4,0,0,0,1,0,1,0,6,0,2,0,4,0,2
"242","LOC100128076",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"243","LOC100128079",1,2,1,4,1,5,1,10,2,7,3,7,2,10,3,9
"244","JAZF1-AS1",1,3,1,4,1,2,2,5,0,1,0,6,0,1,1,3
"245","ST8SIA6-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246","UBE2Q2P13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"247","HGC6.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248","STAU2-AS1",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"249","ADGRA1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"250","LINC01233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"251","LOC100128164",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"252","UST-AS1",1,12,2,6,1,6,2,5,2,9,2,14,0,13,1,9
"253","TMPO-AS1",75,329,70,327,51,221,90,396,10,60,76,291,17,97,75,263
"254","LINC02324",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"255","LINC02731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"256","ZNF667-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"257","LOC100128253",0,3,1,4,0,5,0,4,0,9,0,3,1,6,1,5
"258","WASIR1",0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0
"259","TNK2-AS1",1,7,1,4,3,4,2,6,1,5,0,8,1,5,1,4
"260","HTR5A-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"261","LOC100128276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"262","DNM1P35",1,1,0,1,0,2,0,4,1,3,0,7,1,10,0,7
"263","LOC100128288",0,3,0,3,0,1,2,5,2,2,0,0,0,3,1,4
"264","DLG5-AS1",2,3,2,1,2,3,1,3,1,4,2,8,0,4,0,6
"265","LOC100128310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"266","LOC100128317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"267","LINC03008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"268","TRAPPC3L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"269",NA,64,294,30,161,113,521,96,441,122,588,71,506,82,803,67,440
"270","LOC100128340",1,5,0,3,1,2,3,0,1,3,0,3,3,6,0,6
"271","LOC100128361",4,15,3,9,6,26,4,20,3,19,4,18,5,14,6,15
"272","LINC00696",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"273","FAM225B",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"274","ARHGAP42-AS1",2,6,4,6,4,5,2,6,1,10,2,12,2,13,3,12
"275","LOC100128398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"276","LINC00892",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"277","LOC100128494",97,462,83,352,98,417,120,519,95,391,115,490,90,401,85,457
"278","SCP2D1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"279","ASTN2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"280","NEBL-AS1",1,3,2,2,0,2,0,1,0,1,1,8,0,10,0,4
