"","SYMBOL","GSM1921811","GSM1921812","GSM1921813","GSM1921814","GSM1921815","GSM1921816","GSM1921817","GSM1921818"
"14379","LOC107984254",1,3,2,2,1,1,0,2
"14380","LOC107984255",0,0,0,0,0,0,0,0
"14381","LOC107984256",0,0,0,0,0,0,0,0
"14382","LOC107984257",1,1,5,5,1,1,0,3
"14383",NA,0,2,6,1,1,1,0,2
"14384","LOC107984260",0,1,1,1,1,0,0,2
"14385",NA,14,32,81,44,51,70,19,54
"14386","LOC107984262",28,44,53,37,87,74,37,87
"14387","LOC107984263",22,70,75,44,77,72,34,98
"14388",NA,0,0,0,1,0,0,0,2
"14389","LOC107984265",0,1,3,1,2,0,1,2
"14390","LOC107984266",0,0,0,0,0,0,0,0
"14391","LOC107984268",0,0,0,0,0,0,0,0
"14392",NA,0,0,0,0,0,0,0,1
"14393","LOC107984270",0,0,0,0,1,0,0,0
"14394",NA,0,2,2,3,3,4,0,4
"14395","LOC107984272",0,0,0,0,0,0,0,0
"14396","LOC107984273",0,0,0,0,0,0,0,0
"14397","LOC107984274",0,0,0,0,0,0,0,0
"14398","LOC107984275",2,4,19,9,2,3,1,5
"14399",NA,0,0,1,1,0,0,0,0
"14400",NA,1,0,0,0,2,0,0,1
"14401",NA,0,0,0,0,0,0,0,0
"14402","LINC02666",0,0,7,1,4,4,3,5
"14403","LOC107984281",0,0,0,0,0,0,0,0
"14404","LOC107984282",3,3,4,1,0,2,0,1
"14405","LOC107984283",0,0,0,0,0,0,0,0
"14406",NA,0,0,3,2,3,3,1,3
"14407",NA,26,29,59,23,57,40,5,43
"14408",NA,0,2,1,1,0,1,0,2
"14409","LOC107984293",0,0,3,0,0,0,0,1
"14410",NA,0,0,0,0,0,0,0,0
"14411",NA,2,15,10,11,6,7,1,12
"14412","LOC107984299",3,7,1,3,8,9,0,8
"14413","LOC107984301",0,0,0,0,0,0,1,0
"14414","LOC107984302",1,1,4,1,1,1,2,2
"14415","LOC107984303",0,0,0,0,0,0,0,0
"14416",NA,0,0,0,0,0,0,0,0
"14417","LOC107984307",0,0,0,0,0,0,0,0
"14418","LOC107984308",2,0,7,5,2,1,1,4
"14419","LOC107984309",0,0,0,0,0,1,2,0
"14420",NA,0,0,0,0,0,0,0,0
"14421","LOC107984311",2,5,4,5,5,4,0,7
"14422",NA,14,29,26,16,16,20,0,21
"14423","LOC107984313",2,2,1,2,6,8,0,5
"14424","LOC107984315",0,0,0,0,0,1,0,0
"14425",NA,558,866,2075,944,1259,951,526,1159
"14426","LOC107984317",5,4,9,5,5,11,2,6
"14427",NA,5,6,19,6,0,3,0,4
"14428",NA,0,0,0,0,0,0,0,0
"14429","LOC107984321",0,0,0,0,0,0,0,0
"14430","LOC107984322",0,0,1,0,1,0,0,0
"14431","SLC1A2-AS1",0,0,0,0,0,0,0,0
"14432","LOC107984325",1,0,1,0,1,2,0,1
"14433","LOC107984326",0,0,0,0,0,0,0,0
"14434","LOC107984328",278,604,928,756,792,808,306,897
"14435",NA,40,76,83,65,78,77,32,103
"14436",NA,0,0,0,0,0,0,0,0
"14437","LOC107984331",0,0,0,0,0,0,0,0
"14438","PRPF19-DT",3,3,4,4,2,3,3,6
"14439","LOC107984334",3,9,11,7,12,6,10,13
"14440",NA,0,0,0,0,0,0,0,0
"14441",NA,6,7,11,10,8,12,4,9
"14442","NRXN2-AS1",0,0,0,0,0,0,0,1
"14443",NA,832,1715,4473,2132,3616,2955,935,3616
"14444","LOC107984340",320,901,884,741,768,886,390,1105
"14445","LOC107984341",1,1,0,0,0,0,0,0
