"","SYMBOL","GSM2211605","GSM2211606","GSM2211607","GSM2211608","GSM2211609","GSM2211610","GSM2211611","GSM2211612","GSM2211613","GSM2211614"
"5138","LOC101929290",3,7,7,9,11,8,7,9,9,10
"5139","LOC101929291",68,62,46,56,61,92,69,46,81,104
"5140","ADAM7-AS1",1,0,2,3,0,1,0,0,1,0
"5141","LNCRNA-IUR",5,8,16,5,7,8,13,7,4,7
"5142","LOC101929297",0,0,0,0,1,1,0,0,0,1
"5143","LOC101929298",3,4,3,4,3,5,6,4,4,4
"5144","RFX3-DT",4,1,1,3,2,4,2,1,0,2
"5145","LOC101929305",0,2,2,1,0,1,4,4,4,11
"5146","LOC101929307",5,0,2,5,4,8,1,1,2,2
"5147","LOC101929309",1,3,3,3,4,1,4,2,2,1
"5148","KCNMA1-AS2",0,0,0,0,0,0,0,0,0,0
"5149","LINC01706",0,0,0,0,1,0,0,0,0,0
"5150","LOC101929314",160,163,145,118,126,131,168,170,154,211
"5151","ADAM7-AS2",0,0,0,0,0,0,1,1,0,1
"5152","PRICKLE2-DT",1,0,1,2,3,0,2,0,3,2
"5153","LOC101929319",2,2,1,0,1,2,0,0,2,0
"5154","LOC101929320",0,0,0,0,0,1,0,0,0,0
"5155","LOC101929321",0,0,0,0,1,0,0,0,0,0
"5156","LOC101929322",80,84,91,65,63,70,151,133,127,170
"5157","LOC101929326",1,0,0,0,0,0,0,0,0,0
"5158","KCNMA1-AS1",0,0,1,0,0,0,0,0,0,0
"5159","LAMP5-AS1",1,0,1,0,0,0,7,6,4,1
"5160","LINC02975",0,0,0,0,0,0,0,0,0,0
"5161","ADAMTS9-AS1",2,1,3,1,3,1,1,0,1,1
"5162","LINC02037",1,0,0,0,0,0,0,0,0,0
"5163","SEMA5A-AS1",0,0,0,0,0,1,0,0,0,0
"5164","ESAM-AS1",1,6,1,3,4,1,2,9,5,5
"5165","LOC101929341",0,0,0,0,0,0,0,0,0,0
"5166","LOC101929343",0,0,0,0,0,0,0,0,0,0
"5167","LINC01198",1,1,1,2,5,1,1,1,0,2
"5168","LOC101929347",2,0,1,1,0,0,1,0,0,0
"5169","LOC101929348",0,0,0,0,0,1,0,0,0,0
"5170","LINC01665",0,0,0,0,0,0,0,0,0,0
"5171","CDC37L1-DT",10,2,1,4,6,12,8,4,1,5
"5172","LINC02664",0,1,0,0,1,0,0,0,0,3
"5173","DDIT4L-AS1",0,0,0,0,0,0,0,0,0,0
"5174","CFAP97D2",0,0,1,0,0,0,0,2,0,1
"5175",NA,52,41,52,54,66,48,48,70,51,54
"5176","HP09053",174,171,169,153,182,208,212,188,231,290
"5177","LOC101929359",0,0,0,0,0,0,0,0,0,0
"5178",NA,0,1,0,0,1,0,0,0,0,0
