"","SYMBOL","GSM3535477","GSM3535478","GSM3535479","GSM3535480","GSM3535481","GSM3535482"
"16815","MAGED2",3609,5248,4052,4670,4920,2734
"16816","BTNL3",0,0,0,0,0,0
"16817","EHMT2",2267,2164,2045,2711,2657,1597
"16818","COPS8",3112,2792,2907,3195,4146,2151
"16819","RNPS1",7927,6381,7329,6501,6569,3878
"16820","FASTK",1644,1525,1488,1568,1614,946
"16821","SUB1",2367,1679,2413,2579,2393,1637
"16822","SMPDL3A",105,81,108,51,55,35
"16823","DBF4",1218,669,1140,291,318,234
"16824","SPIN1",5360,5057,5000,2981,3711,2182
"16825","RALBP1",3862,3595,3582,5724,6114,3427
"16826","ARHGAP27P1-BPTFP1-KPNA2P3",855,720,862,661,617,486
"16827","SRSF8",865,834,1102,5053,4920,3243
"16828","APOBEC2",4,1,5,4,6,3
"16829","MORF4L1",6572,5499,6611,5822,5701,3598
"16830","PRDX3",6191,4471,5911,5009,5230,3049
"16831","GPR75",46,36,51,50,60,36
"16832","EHD1",1494,1082,1510,2794,2785,1589
"16833","AFG3L2",5090,3533,4611,3631,3307,2201
"16834","POP1",1419,526,1230,851,661,525
"16835","UGT2A1",0,1,0,0,0,0
"16836","PRSS21",2,0,0,0,0,0
"16837","MSL3",650,608,659,689,852,495
"16838","C11orf58",7825,6098,8135,5629,6068,3773
"16839","KDELR1",5403,4647,4956,5030,4796,2928
"16840","SF3A3",2360,2415,2274,5350,6512,3215
"16841","AP3M2",1641,1913,1799,956,1415,748
"16842","STARD3",1271,1387,1383,1169,1351,746
"16843","HNRNPA0",8599,8142,8262,5184,5606,3321
"16844","BTG3",784,488,622,929,895,546
"16845","ERV3-1-ZNF117",101,173,170,100,207,138
"16846","CBX1",2574,2231,2325,1764,1948,1055
"16847","SEC61B",2811,1930,2555,2756,2416,1472
"16848","TOMM34",2132,2064,2050,1855,1996,1105
"16849","PDIA5",2084,1894,2010,2081,2096,1213
"16850","SERINC3",7435,4942,6416,7633,7130,4500
"16851","OS9",6079,5348,5992,4824,4973,2776
"16852","PNRC1",2164,1872,2515,2376,2159,1757
"16853","TMED2",7583,5865,7025,6502,6607,3963
"16854","LMAN2",3855,3092,3472,4029,4025,2237
"16855","ERP29",7691,5341,7499,3952,3856,2500
"16856","SNORA50D",0,0,0,0,0,0
"16857","SNORA80C",1,0,1,1,2,0
"16858","SNORA10B",3,2,3,2,5,2
"16859","SNORA11G",2,2,2,0,0,2
"16860","SNORA15B-1",2,2,1,1,1,1
"16861","SNORA20B",1,0,0,0,0,0
"16862","SNORA22B",5,4,3,2,0,7
"16863","SNORA22C",3,0,3,2,1,1
"16864","SNORA31B",8,2,7,2,1,3
"16865","SNORA40B",0,0,3,0,1,1
"16866","SNORA40C",0,0,0,0,0,1
"16867","SNORA48B",0,0,0,0,0,0
"16868","SNORA63C",0,0,0,0,0,0
"16869","SNORA63D",0,0,0,0,1,0
"16870","SNORA68B",2,1,2,1,2,0
"16871","SNORA70J",0,0,0,1,0,0
"16872","SNORA74C-1",0,0,2,1,0,1
"16873","SNORA74D",2,2,4,0,6,1
"16874","SNORA79B",7,12,13,13,11,10
"16875","SNORA9B",6,1,2,3,8,3
"16876","SNORD31B",0,1,0,0,0,0
"16877","SNORD38D",0,0,0,1,0,1
"16878","SNORD65B",0,0,0,0,0,0
"16879","SNORD65C",0,0,0,0,0,1
"16880","SNORD77B",0,0,0,0,0,0
"16881","SNORD3F",0,0,0,0,0,0
"16882","SNORD3G",0,0,0,0,0,0
"16883","SNORD3J",0,1,0,0,0,0
"16884","SNORD13F",0,0,1,2,0,1
"16885","SNORD13G",0,0,0,0,0,0
"16886","SNORD13I",0,0,0,0,0,0
"16887","SNORD13C",0,0,0,1,0,0
"16888","SNORD13D",0,0,0,0,0,0
"16889","SNORD19C",34,22,27,6,8,16
"16890","SNORA30B",0,0,0,0,0,0
"16891","SNORA70H",0,0,0,0,0,0
"16892","SNORA75B",0,0,0,0,0,0
"16893","SNORD70B",4,5,6,0,3,1
"16894","SNORD3I",0,0,0,0,0,0
"16895","SNORA3C",0,0,0,0,0,0
"16896","SNORA50B",0,0,0,0,0,0
"16897","SNORA80D",5,0,2,0,0,4
"16898","SNORA11F",30,7,19,16,21,10
"16899","SNORA1B",0,0,0,1,0,0
"16900","SNORA21B",10,4,6,4,8,8
"16901","SNORA24B",0,0,0,0,1,0
"16902","SNORA35B",0,0,0,0,0,0
"16903","SNORA41B",0,0,0,0,0,0
"16904","SNORA63B",17,21,20,15,13,16
"16905","SNORA63E",3,1,6,1,4,2
